,一共游戏场数,10551
1,路卡利欧,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,火焰球	蓄能焰袭	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	力量头带	焦点镜,166,76.15%,17
,,气势头带	力量头带	焦点镜,23,65.71%,17
,,力量头带	锐利之爪	焦点镜,64,70.33%,13
,,救援屏障	力量头带	焦点镜,4,50.0%,2
,,能量增幅器	力量头带	焦点镜,50,72.46%,1
,,猛攻哑铃	气势头带	力量头带,1,100.0%,1
,,轻石		力量头带	焦点镜,0,0.0%,1
,,力量头带	焦点镜	弱点保险,0,0.0%,1
14,呆壳兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,58,3.53%,291,78.23%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Wulf?,34,85.0%
,,志Sauloㅤツ,31,67.39%
,,ttvSixsies,26,83.87%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,伤药	,148,77.89%,33
,,速度强化,77,80.21%,12
,,热水		瞬间失忆	伤药	,34,75.56%,12
,,热水		意念移物	速度强化,21,95.45%,7
,,热水		瞬间失忆	速度强化,4,80.0%,2
,,热水		意念移物	伤药	,3,75.0%,4
,,逃脱按键,2,100.0%,1
,,冲浪		意念移物	逃脱按键,1,100.0%,1
,,冲浪		意念移物	速度强化,1,50.0%,1
,,冲浪		瞬间失忆	伤药	,0,0.0%,2
,,冲浪		瞬间失忆	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	气势头带	博识眼镜,41,74.55%,11
,,亿奥斯饼干	进击眼镜	气势头带,56,81.16%,9
,,讲究眼镜	救援屏障	气势头带,17,73.91%,6
,,讲究眼镜	气势头带	力量头带,45,73.77%,5
,,讲究眼镜	进击眼镜	气势头带,40,85.11%,5
,,救援屏障	进击眼镜	气势头带,20,80.0%,3
,,进击眼镜	气势头带	博识眼镜,2,40.0%,2
,,进击眼镜	气势头带	贝壳之铃,26,83.87%,1
,,救援屏障	气势头带	博识眼镜,4,66.67%,1
,,能量增幅器	救援屏障	气势头带,3,42.86%,1
,,讲究眼镜	气势头带	贝壳之铃,2,100.0%,1
,,讲究眼镜	亿奥斯饼干	进击眼镜,2,100.0%,1
,,讲究眼镜	弱点保险	博识眼镜,2,66.67%,1
,,讲究眼镜	能量增幅器	学习装置,1,100.0%,1
,,能量增幅器	气势头带	贝壳之铃,1,100.0%,1
,,突击背心	救援屏障	气势头带,1,100.0%,1
,,进击眼镜	气势头带	力量头带,1,50.0%,1
15,耿鬼,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,42,3.32%,233,66.57%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,BoraReach,82,66.13%
,,秋津茜,31,64.58%
,,T2_Mame,24,72.73%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,污泥炸弹	祸不单行	速度强化,94,65.73%,3
,,暗影球	食梦		逃脱按键,43,69.35%,19
,,污泥炸弹	祸不单行	逃脱按键,43,67.19%,8
,,污泥炸弹	祸不单行	攻击强化,17,77.27%,3
,,污泥炸弹	祸不单行	万灵药,17,70.83%,8
,,暗影球	食梦		攻击强化,15,55.56%,5
,,暗影球	食梦		速度强化,3,50.0%,4
,,污泥炸弹	祸不单行	得分加速装置,1,100.0%,1
,,暗影球	食梦		万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	进击眼镜	博识眼镜,77,62.6%,18
,,讲究眼镜	气势头带	博识眼镜,17,70.83%,4
,,讲究眼镜	进击眼镜	贝壳之铃,16,84.21%,3
,,讲究眼镜	贝壳之铃	博识眼镜,83,66.4%,2
,,讲究眼镜	救援屏障	博识眼镜,2,66.67%,2
,,讲究眼镜	能量增幅器	贝壳之铃,24,72.73%,1
,,进击眼镜	贝壳之铃	博识眼镜,5,62.5%,1
,,进击眼镜	气势头带	贝壳之铃,4,100.0%,1
,,讲究眼镜	进击眼镜	弱点保险,1,100.0%,1
,,讲究眼镜	焦点镜	博识眼镜,1,100.0%,1
,,讲究眼镜	能量增幅器	进击眼镜,1,100.0%,1
,,讲究眼镜	救援屏障	进击眼镜,0,0.0%,1
,,能量增幅器	进击眼镜	贝壳之铃,0,0.0%,1
,,讲究眼镜	能量增幅器	救援屏障,0,0.0%,1
16,烈咬陆鲨,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,22,3.25%,227,66.18%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ttvNintendil,111,63.43%
,,TtvPikaGod22,45,71.43%
,,PotatoUwU,32,71.11%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之俯冲	龙爪		逃脱按键,213,66.77%,19
,,龙之俯冲	龙爪		攻击强化,9,52.94%,3
,,龙之俯冲	龙爪		速度强化,5,100.0%,2
,,挖洞		龙爪		逃脱按键,0,0.0%,1
,,挖洞		地震		攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	力量头带	焦点镜,41,71.93%,8
,,救援屏障	气势头带	力量头带,57,70.37%,6
,,气势头带	力量头带	弱点保险,115,63.19%,3
,,猛攻哑铃	力量头带	焦点镜,7,46.67%,1
,,力量头带	锐利之爪	焦点镜,3,100.0%,1
,,猛攻哑铃	气势头带	力量头带,2,100.0%,1
17,皮卡丘,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,54,3.18%,246,73.21%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,CeS梦Infí,45,68.18%
,,mysz,31,73.81%
,,Lance.UPR,17,94.44%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,打雷		十万伏特	速度强化,81,72.32%,12
,,电球		伏特攻击	逃脱按键,69,75.82%,20
,,电球		伏特攻击	速度强化,40,71.43%,9
,,打雷		十万伏特	逃脱按键,38,74.51%,17
,,打雷		伏特攻击	逃脱按键,9,81.82%,3
,,打雷		伏特攻击	速度强化,6,85.71%,4
,,电球		十万伏特	逃脱按键,3,42.86%,7
,,电球		十万伏特	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	气势头带	力量头带,10,66.67%,7
,,讲究眼镜	气势头带	力量头带,10,71.43%,6
,,讲究眼镜	能量增幅器	博识眼镜,52,70.27%,5
,,能量增幅器	救援屏障	贝壳之铃,39,72.22%,5
,,讲究眼镜	能量增幅器	气势头带,31,79.49%,5
,,讲究眼镜	救援屏障	气势头带,22,78.57%,4
,,能量增幅器	救援屏障	力量头带,6,46.15%,3
,,能量增幅器	气势头带	力量头带,3,60.0%,3
,,讲究眼镜	救援屏障	博识眼镜,8,80.0%,2
,,能量增幅器	气势头带	贝壳之铃,6,54.55%,2
,,讲究眼镜	能量增幅器	救援屏障,2,66.67%,2
,,救援屏障	进击眼镜	贝壳之铃,17,94.44%,1
,,讲究眼镜	能量增幅器	贝壳之铃,16,88.89%,1
,,能量增幅器	贝壳之铃	博识眼镜,8,61.54%,1
,,能量增幅器	进击眼镜	力量头带,4,80.0%,1
,,救援屏障	气势头带	博识眼镜,2,100.0%,1
,,讲究眼镜	救援屏障	贝壳之铃,1,100.0%,1
,,能量增幅器	力量头带	贝壳之铃,0,0.0%,1
,,讲究眼镜	能量增幅器	力量头带,0,0.0%,1
18,妖火红狐,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,44,2.81%,215,72.39%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,CeS梦KiD,31,73.81%
,,OneV・DonLux,22,88.0%
,,ENT・ScepTer,17,70.83%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,魔法火焰	火焰旋涡	速度强化,143,70.44%,25
,,魔法火焰	火焰旋涡	逃脱按键,56,76.71%,18
,,魔法火焰	蓄能焰袭	逃脱按键,6,60.0%,6
,,魔法火焰	蓄能焰袭	速度强化,4,80.0%,3
,,大字爆炎	火焰旋涡	速度强化,3,100.0%,2
,,大字爆炎	火焰旋涡	逃脱按键,2,100.0%,2
,,魔法火焰	蓄能焰袭	攻击强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,能量增幅器	救援屏障	贝壳之铃,24,66.67%,10
,,讲究眼镜	能量增幅器	贝壳之铃,52,72.22%,8
,,讲究眼镜	气势头带	博识眼镜,32,76.19%,4
,,能量增幅器	气势头带	贝壳之铃,26,86.67%,4
,,讲究眼镜	能量增幅器	博识眼镜,9,90.0%,4
,,讲究眼镜	救援屏障	博识眼镜,41,74.55%,3
,,能量增幅器	救援屏障	气势头带,4,100.0%,2
,,能量增幅器	救援屏障	学习装置,10,71.43%,1
,,讲究眼镜	贝壳之铃	博识眼镜,8,66.67%,1
,,能量增幅器	救援屏障	博识眼镜,2,100.0%,1
,,能量增幅器	学习装置	贝壳之铃,2,50.0%,1
,,讲究眼镜	进击眼镜	气势头带,1,100.0%,1
,,讲究眼镜	能量增幅器	救援屏障,1,12.5%,1
,,讲究眼镜	能量增幅器	气势头带,0,0.0%,1
,,能量增幅器	进击眼镜	贝壳之铃,0,0.0%,1
19,卡比兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,47,2.81%,227,76.69%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,INF・DrakenN,39,86.67%
,,ZPRR.Qlaziks,34,82.93%
,,CeS梦Luffy,26,76.47%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,速度强化,98,76.56%,26
,,逃脱按键,63,79.75%,10
,,重磅冲撞	挡路		速度强化,34,69.39%,12
,,重磅冲撞	挡路		逃脱按键,31,79.49%,6
,,抓狂		挡路		逃脱按键,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	得分护盾	气势头带,79,82.29%,15
,,救援屏障	学习装置	气势头带,26,70.27%,11
,,突击背心	救援屏障	气势头带,77,77.0%,6
,,救援屏障	气势头带	力量头带,7,77.78%,5
,,救援屏障	气势头带	弱点保险,11,73.33%,2
,,救援屏障	亿奥斯饼干	气势头带,6,75.0%,2
,,亿奥斯饼干	猛攻哑铃	气势头带,10,71.43%,1
,,救援屏障	气势头带	凸凸头盔,5,71.43%,1
,,救援屏障	猛攻哑铃	气势头带,4,80.0%,1
,,轻石		气势头带	力量头带,1,100.0%,1
,,能量增幅器	轻石		气势头带,1,33.33%,1
,,气势头带	焦点镜	弱点保险,0,0.0%,1
20,铝钢龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,24,2.62%,198,71.74%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,IsWillTVツ,68,71.58%
,,Jaypaツ,36,78.26%
,,湛藍神韻,24,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之波动	龙尾		攻击强化,130,71.04%,10
,,加农光炮	龙尾		攻击强化,21,75.0%,4
,,龙之波动	龙尾		逃脱按键,17,77.27%,4
,,龙之波动	龙尾		速度强化,15,78.95%,3
,,加农光炮	龙尾		万灵药,4,80.0%,4
,,龙之波动	隐形岩	万灵药,4,57.14%,3
,,龙之波动	龙尾		万灵药,4,50.0%,4
,,龙之波动	隐形岩	攻击强化,2,100.0%,2
,,加农光炮	龙尾		逃脱按键,1,100.0%,1
,,加农光炮	隐形岩	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	力量头带	焦点镜,110,71.43%,7
,,力量头带	锐利之爪	焦点镜,61,78.21%,4
,,救援屏障	力量头带	焦点镜,12,75.0%,4
,,气势头带	力量头带	焦点镜,9,64.29%,3
,,气势头带	力量头带	弱点保险,1,100.0%,1
,,猛攻哑铃	气势头带	力量头带,1,100.0%,1
,,气势头带	力量头带	锐利之爪,1,50.0%,1
,,救援屏障	气势头带	力量头带,1,25.0%,1
21,仙子伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,38,2.52%,204,76.69%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,BB・Skyfire,55,80.88%
,,RJG・Ruvis,17,89.47%
,,昼寝ひみ,15,53.57%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,巨声		冥想		速度强化,172,80.75%,33
,,巨声		冥想		逃脱按键,28,62.22%,6
,,巨声		吸取之吻	速度强化,2,100.0%,2
,,魔法火焰	吸取之吻	速度强化,1,100.0%,1
,,巨声		冥想		伤药	,1,50.0%,1
,,魔法火焰	冥想		速度强化,0,0.0%,1
,,巨声		冥想		攻击强化,0,0.0%,1
,,巨声		冥想		向尾喵的尾巴,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	气势头带	博识眼镜,97,79.51%,21
,,讲究眼镜	进击眼镜	气势头带,5,71.43%,4
,,讲究眼镜	气势头带	贝壳之铃,12,85.71%,3
,,进击眼镜	气势头带	博识眼镜,55,79.71%,2
,,讲究眼镜	贝壳之铃	博识眼镜,15,53.57%,1
,,能量增幅器	气势头带	博识眼镜,7,87.5%,1
,,能量增幅器	气势头带	贝壳之铃,6,75.0%,1
,,讲究眼镜	能量增幅器	博识眼镜,0,0.0%,1
22,沙奈朵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,19,2.48%,182,69.47%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,blushUwU,134,68.72%
,,ryanxoxo,13,76.47%
,,S4L-,10,62.5%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,月亮之力	预知未来	逃脱按键,151,69.27%,6
,,精神强念	预知未来	逃脱按键,15,62.5%,6
,,月亮之力	预知未来	速度强化,5,100.0%,5
,,月亮之力	精神冲击	逃脱按键,5,71.43%,2
,,精神强念	预知未来	速度强化,2,66.67%,3
,,精神强念	预知未来	攻击强化,1,100.0%,1
,,月亮之力	预知未来	攻击强化,1,100.0%,1
,,月亮之力	预知未来	向尾喵的尾巴,1,100.0%,1
,,月亮之力	精神冲击	速度强化,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	救援屏障	博识眼镜,150,69.77%,4
,,讲究眼镜	气势头带	博识眼镜,5,71.43%,3
,,讲究眼镜	能量增幅器	贝壳之铃,2,100.0%,2
,,讲究眼镜	进击眼镜	贝壳之铃,10,62.5%,1
,,能量增幅器	救援屏障	博识眼镜,6,60.0%,1
,,讲究眼镜	进击眼镜	博识眼镜,3,75.0%,1
,,救援屏障	气势头带	博识眼镜,2,100.0%,1
,,讲究眼镜	能量增幅器	救援屏障,1,100.0%,1
,,能量增幅器	力量头带	贝壳之铃,1,100.0%,1
,,讲究眼镜	贝壳之铃	博识眼镜,1,100.0%,1
,,讲究眼镜	力量头带	博识眼镜,1,100.0%,1
,,讲究眼镜	气势头带	贝壳之铃,0,0.0%,1
,,讲究眼镜	救援屏障	气势头带,0,0.0%,1
23,象牙猪,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,21,2.0%,149,70.62%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Jjacky,96,69.57%
,,훈포도,21,87.5%
,,Jaypaツ,6,85.71%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冰柱坠击	十万马力	伤药	,97,68.31%,7
,,冰柱坠击	十万马力	逃脱按键,15,60.0%,10
,,冰冻牙	十万马力	伤药	,14,82.35%,3
,,冰冻牙	地震		伤药	,13,92.86%,1
,,冰冻牙	十万马力	逃脱按键,3,100.0%,2
,,冰柱坠击	十万马力	迟缓烟雾,3,60.0%,1
,,冰冻牙	地震		逃脱按键,2,66.67%,2
,,冰柱坠击	地震		逃脱按键,1,100.0%,1
,,冰冻牙	十万马力	速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	气势头带	力量头带,25,78.12%,5
,,猛攻哑铃	气势头带	力量头带,9,75.0%,3
,,救援屏障	气势头带	弱点保险,2,66.67%,3
,,气势头带	力量头带	弱点保险,6,75.0%,2
,,救援屏障	亿奥斯饼干	气势头带,4,57.14%,2
,,救援屏障	得分护盾	气势头带,1,50.0%,2
,,救援屏障	气势头带	锐利之爪,96,69.57%,1
,,猛攻哑铃	气势头带	锐利之爪,4,80.0%,1
,,亿奥斯饼干	气势头带	锐利之爪,2,66.67%,1
,,救援屏障	猛攻哑铃	气势头带,0,0.0%,1
24,朽木妖,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,32,1.79%,140,74.07%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,TE・FreaK,22,84.62%
,,STMN・Froy,18,90.0%
,,jatinjwin,14,70.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,咒术		木角		伤药	,99,72.79%,22
,,咒术		木角		速度强化,19,86.36%,9
,,咒术		木角		向尾喵的尾巴,11,91.67%,4
,,咒术		木角		逃脱按键,10,58.82%,3
,,木槌		木角		向尾喵的尾巴,1,100.0%,1
,,木槌		木角		伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	气势头带	弱点保险,33,75.0%,8
,,亿奥斯饼干	猛攻哑铃	气势头带,28,80.0%,7
,,气势头带	力量头带	弱点保险,21,72.41%,3
,,救援屏障	气势头带	弱点保险,4,57.14%,3
,,救援屏障	亿奥斯饼干	气势头带,13,76.47%,2
,,亿奥斯饼干	猛攻哑铃	弱点保险,9,56.25%,2
,,救援屏障	猛攻哑铃	气势头带,6,100.0%,2
,,救援屏障	亿奥斯饼干	弱点保险,6,54.55%,1
,,救援屏障	气势头带	力量头带,2,100.0%,1
,,讲究眼镜	气势头带	贝壳之铃,0,0.0%,1
,,得分护盾	亿奥斯饼干	弱点保险,0,0.0%,1
25,阿勃梭鲁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,25,1.77%,134,71.66%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ひらいりく,53,69.74%
,,白狐珍,27,77.14%
,,KAiシ,12,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,追打		精神利刃	万灵药,53,68.83%,2
,,追打		突袭		伤药	,27,77.14%,1
,,暗袭要害	精神利刃	逃脱按键,20,76.92%,8
,,暗袭要害	精神利刃	万灵药,8,72.73%,4
,,暗袭要害	突袭		逃脱按键,7,70.0%,4
,,暗袭要害	突袭		速度强化,7,70.0%,1
,,暗袭要害	精神利刃	攻击强化,4,100.0%,4
,,暗袭要害	精神利刃	伤药	,2,100.0%,1
,,暗袭要害	突袭		伤药	,1,100.0%,1
,,暗袭要害	精神利刃	向尾喵的尾巴,1,100.0%,1
,,追打		精神利刃	逃脱按键,1,100.0%,1
,,追打		突袭		万灵药,1,100.0%,1
,,追打		精神利刃	攻击强化,1,50.0%,1
,,追打		突袭		逃脱按键,1,33.33%,1
,,暗袭要害	突袭		攻击强化,0,0.0%,1
,,暗袭要害	突袭		万灵药,0,0.0%,1
,,追打		精神利刃	向尾喵的尾巴,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	锐利之爪	焦点镜,24,77.42%,8
,,气势头带	锐利之爪	焦点镜,30,69.77%,7
,,救援屏障	锐利之爪	焦点镜,8,61.54%,2
,,能量增幅器	猛攻哑铃	焦点镜,7,77.78%,2
,,能量增幅器	锐利之爪	焦点镜,53,69.74%,1
,,猛攻哑铃	力量头带	焦点镜,8,80.0%,1
,,亿奥斯饼干	猛攻哑铃	焦点镜,2,100.0%,1
,,力量头带	锐利之爪	焦点镜,1,100.0%,1
,,救援屏障	气势头带	焦点镜,1,100.0%,1
,,救援屏障	猛攻哑铃	焦点镜,0,0.0%,1
26,魔墙人偶,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,22,1.65%,124,71.26%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,オムライスㅤ,41,73.21%
,,満腹のざくす,19,76.0%
,,普通リス全一,17,80.95%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,念力		防守互换	速度强化,109,71.24%,15
,,念力		屏障		速度强化,7,70.0%,7
,,念力		屏障		攻击强化,5,71.43%,1
,,念力		防守互换	向尾喵的尾巴,1,100.0%,1
,,念力		防守互换	得分加速装置,1,100.0%,1
,,念力		屏障		逃脱按键,1,100.0%,1
,,精神强念	防守互换	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	进击眼镜	博识眼镜,43,71.67%,2
,,救援屏障	进击眼镜	气势头带,24,68.57%,2
,,讲究眼镜	进击眼镜	博识眼镜,3,75.0%,2
,,能量增幅器	救援屏障	贝壳之铃,3,75.0%,2
,,讲究眼镜	救援屏障	进击眼镜,8,88.89%,1
,,得分护盾	进击眼镜	气势头带,7,63.64%,1
,,进击眼镜	气势头带	博识眼镜,5,83.33%,1
,,讲究眼镜	能量增幅器	进击眼镜,5,71.43%,1
,,能量增幅器	气势头带	贝壳之铃,3,42.86%,1
,,能量增幅器	亿奥斯饼干	贝壳之铃,1,100.0%,1
,,能量增幅器	救援屏障	气势头带,1,100.0%,1
,,讲究眼镜	救援屏障	气势头带,1,100.0%,1
,,讲究眼镜	猛攻哑铃	焦点镜,1,100.0%,1
,,讲究眼镜	气势头带	博识眼镜,1,50.0%,1
,,讲究眼镜	救援屏障	博识眼镜,1,50.0%,1
,,讲究眼镜	能量增幅器	气势头带,0,0.0%,1
,,讲究眼镜	能量增幅器	救援屏障,0,0.0%,1
27,喷火龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,33,1.44%,115,75.66%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Wulf?,26,83.87%
,,HyperCarryTV,20,66.67%
,,RENAMED,11,91.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,喷射火焰	大字爆炎	攻击强化,63,81.82%,12
,,喷射火焰	大字爆炎	速度强化,25,69.44%,15
,,火焰拳	闪焰冲锋	攻击强化,20,66.67%,1
,,喷射火焰	闪焰冲锋	攻击强化,3,75.0%,4
,,喷射火焰	大字爆炎	万灵药,2,100.0%,2
,,火焰拳	大字爆炎	攻击强化,1,100.0%,1
,,喷射火焰	闪焰冲锋	速度强化,1,100.0%,1
,,喷射火焰	大字爆炎	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	力量头带	焦点镜,12,75.0%,7
,,气势头带	力量头带	焦点镜,32,84.21%,4
,,猛攻哑铃	力量头带	弱点保险,12,85.71%,3
,,救援屏障	力量头带	焦点镜,3,100.0%,3
,,力量头带	锐利之爪	焦点镜,30,73.17%,2
,,能量增幅器	猛攻哑铃	焦点镜,12,63.16%,2
,,能量增幅器	力量头带	焦点镜,6,54.55%,2
,,猛攻哑铃	气势头带	焦点镜,1,50.0%,2
,,能量增幅器	救援屏障	力量头带,1,100.0%,1
,,力量头带	焦点镜	弱点保险,1,100.0%,1
,,能量增幅器	猛攻哑铃	弱点保险,1,100.0%,1
,,能量增幅器	猛攻哑铃	力量头带,1,100.0%,1
,,猛攻哑铃	气势头带	弱点保险,1,100.0%,1
,,猛攻哑铃	气势头带	力量头带,1,100.0%,1
28,妙蛙花,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,32,1.42%,105,70.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,AFR・Miva,19,76.0%
,,Pikachichu,13,68.42%
,,Xante,8,88.89%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,终极吸取	花瓣舞	万灵药,83,72.81%,20
,,污泥炸弹	日光束	逃脱按键,15,57.69%,9
,,污泥炸弹	日光束	速度强化,2,100.0%,2
,,污泥炸弹	日光束	万灵药,2,100.0%,2
,,终极吸取	花瓣舞	速度强化,2,40.0%,3
,,终极吸取	日光束	逃脱按键,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	气势头带	力量头带,23,65.71%,8
,,能量增幅器	气势头带	贝壳之铃,30,75.0%,4
,,能量增幅器	气势头带	力量头带,12,80.0%,3
,,能量增幅器	救援屏障	贝壳之铃,2,100.0%,2
,,讲究眼镜	能量增幅器	贝壳之铃,0,0.0%,2
,,能量增幅器	救援屏障	力量头带,13,68.42%,1
,,气势头带	力量头带	凸凸头盔,8,80.0%,1
,,讲究眼镜	能量增幅器	气势头带,6,50.0%,1
,,救援屏障	亿奥斯饼干	气势头带,1,100.0%,1
,,突击背心	救援屏障	气势头带,1,100.0%,1
,,救援屏障	气势头带	贝壳之铃,1,100.0%,1
,,讲究眼镜	力量头带	博识眼镜,1,100.0%,1
,,救援屏障	气势头带	博识眼镜,1,100.0%,1
,,能量增幅器	力量头带	贝壳之铃,1,100.0%,1
,,能量增幅器	救援屏障	气势头带,1,50.0%,1
,,讲究眼镜	进击眼镜	气势头带,1,50.0%,1
,,能量增幅器	气势头带	弱点保险,0,0.0%,1
29,狙射树枭,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,29,1.4%,102,68.92%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,MUn,50,75.76%
,,ShreyNHK,8,61.54%
,,TV・ManoTv,6,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,缝影		影子偷袭	逃脱按键,56,76.71%,6
,,缝影		影子偷袭	速度强化,29,60.42%,19
,,缝影		飞叶风暴	逃脱按键,5,50.0%,2
,,飞叶快刀	影子偷袭	速度强化,3,75.0%,2
,,飞叶快刀	影子偷袭	逃脱按键,3,50.0%,2
,,缝影		影子偷袭	攻击强化,2,100.0%,2
,,飞叶快刀	影子偷袭	攻击强化,2,100.0%,1
,,飞叶快刀	飞叶风暴	逃脱按键,1,100.0%,1
,,飞叶快刀	飞叶风暴	速度强化,1,100.0%,1
,,飞叶快刀	飞叶风暴	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
