,一共游戏场数,5786
1,路卡利欧,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,讲究眼镜	气势头带	博识眼镜,38,74.51%,7
,,讲究眼镜	进击眼镜	气势头带,18,78.26%,6
,,讲究眼镜	气势头带	力量头带,8,72.73%,6
,,救援屏障	气势头带	力量头带,38,84.44%,5
,,亿奥斯饼干	进击眼镜	气势头带,25,65.79%,5
,,救援屏障	进击眼镜	气势头带,8,57.14%,5
,,进击眼镜	气势头带	博识眼镜,3,42.86%,4
,,救援屏障	得分护盾	气势头带,3,100.0%,3
,,救援屏障	气势头带	博识眼镜,2,100.0%,2
,,学习装置	气势头带	贝壳之铃,7,77.78%,1
,,突击背心	救援屏障	气势头带,2,100.0%,1
,,讲究眼镜	能量增幅器	气势头带,1,100.0%,1
,,气势头带	力量头带	贝壳之铃,1,100.0%,1
,,救援屏障	亿奥斯饼干	气势头带,1,100.0%,1
,,进击眼镜	学习装置	气势头带,1,100.0%,1
,,救援屏障	气势头带	凸凸头盔,1,100.0%,1
,,讲究眼镜	亿奥斯饼干	气势头带,1,50.0%,1
,,讲究眼镜	进击眼镜	力量头带,0,0.0%,1
,,讲究眼镜	救援屏障	博识眼镜,0,0.0%,1
15,烈咬陆鲨,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,15,4.46%,184,71.32%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ttvNintendil,89,68.46%
,,トラミーVT,34,69.39%
,,BB・PikaGod,21,84.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之俯冲	龙爪		逃脱按键,182,71.65%,12
,,龙之俯冲	龙爪		攻击强化,1,100.0%,1
,,挖洞		地震		逃脱按键,1,50.0%,2
,,龙之俯冲	地震		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	力量头带	焦点镜,52,72.22%,6
,,救援屏障	气势头带	力量头带,23,79.31%,2
,,气势头带	力量头带	弱点保险,89,68.46%,1
,,气势头带	力量头带	锐利之爪,2,66.67%,1
,,猛攻哑铃	力量头带	锐利之爪,1,100.0%,1
,,救援屏障	力量头带	锐利之爪,0,0.0%,1
,,亿奥斯饼干	猛攻哑铃	弱点保险,0,0.0%,1
,,救援屏障	力量头带	弱点保险,0,0.0%,1
16,卡比兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,45,4.2%,181,74.49%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,CeS梦Luffy,48,81.36%
,,INF・DrakenN,26,78.79%
,,LINH,9,69.23%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,重磅冲撞	挡路		速度强化,82,69.49%,27
,,重磅冲撞	挡路		逃脱按键,79,80.61%,16
,,抓狂		哈欠		伤药	,9,69.23%,1
,,重磅冲撞	挡路		得分加速装置,3,75.0%,2
,,重磅冲撞	哈欠		速度强化,2,100.0%,2
,,重磅冲撞	哈欠		逃脱按键,2,66.67%,2
,,抓狂		哈欠		速度强化,2,66.67%,3
,,抓狂		哈欠		逃脱按键,1,100.0%,1
,,抓狂		挡路		速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	得分护盾	气势头带,114,78.08%,13
,,救援屏障	学习装置	气势头带,19,65.52%,8
,,突击背心	救援屏障	气势头带,13,65.0%,5
,,救援屏障	气势头带	力量头带,9,90.0%,5
,,救援屏障	亿奥斯饼干	气势头带,3,60.0%,3
,,救援屏障	猛攻哑铃	气势头带,2,66.67%,2
,,亿奥斯饼干	气势头带	力量头带,9,69.23%,1
,,能量增幅器	气势头带	贝壳之铃,5,100.0%,1
,,轻石		气势头带	力量头带,1,100.0%,1
,,得分护盾	亿奥斯饼干	气势头带,1,100.0%,1
,,救援屏障	气势头带	锐利之爪,1,100.0%,1
,,救援屏障	气势头带	凸凸头盔,1,33.33%,1
,,救援屏障	轻石		气势头带,1,33.33%,1
,,猛攻哑铃	气势头带	焦点镜,0,0.0%,1
17,冰伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,19,4.18%,180,74.38%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Metallicツ,33,64.71%
,,RJG・Ruvis,28,82.35%
,,5i・Inferno,19,76.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冰锥		冰砾		速度强化,83,70.94%,10
,,冰锥		冰砾		逃脱按键,74,81.32%,9
,,冰锥		冷冻干燥	速度强化,10,62.5%,4
,,冰冻之风	冰砾		速度强化,6,66.67%,3
,,冰锥		冰砾		攻击强化,3,100.0%,2
,,冰锥		冷冻干燥	逃脱按键,1,100.0%,1
,,冰冻之风	冰砾		逃脱按键,1,100.0%,1
,,冰冻之风	冷冻干燥	速度强化,1,50.0%,1
,,冰冻之风	冷冻干燥	逃脱按键,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	气势头带	力量头带,47,79.66%,4
,,能量增幅器	力量头带	博识眼镜,9,81.82%,2
,,救援屏障	力量头带	博识眼镜,33,64.71%,1
,,气势头带	贝壳之铃	博识眼镜,19,76.0%,1
,,救援屏障	气势头带	力量头带,14,77.78%,1
,,讲究眼镜	力量头带	博识眼镜,13,100.0%,1
,,讲究眼镜	能量增幅器	救援屏障,9,50.0%,1
,,讲究眼镜	救援屏障	力量头带,8,72.73%,1
,,讲究眼镜	气势头带	博识眼镜,7,63.64%,1
,,进击眼镜	力量头带	焦点镜,6,85.71%,1
,,讲究眼镜	力量头带	贝壳之铃,5,83.33%,1
,,力量头带	焦点镜	博识眼镜,3,100.0%,1
,,能量增幅器	力量头带	焦点镜,3,60.0%,1
,,气势头带	力量头带	焦点镜,2,100.0%,1
,,救援屏障	力量头带	焦点镜,2,100.0%,1
18,藏饱栗鼠,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,23,3.42%,145,73.23%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,DGMoney,19,79.17%
,,99ムSensei,18,72.0%
,,NoBamboozles,13,65.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,打嗝		渴望		向尾喵的尾巴,86,69.92%,19
,,打嗝		渴望		伤药	,26,72.22%,5
,,种子机关枪	大快朵颐	伤药	,18,85.71%,1
,,种子机关枪	大快朵颐	向尾喵的尾巴,13,81.25%,4
,,打嗝		大快朵颐	向尾喵的尾巴,1,100.0%,1
,,种子机关枪	渴望		向尾喵的尾巴,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	猛攻哑铃	气势头带,16,61.54%,4
,,猛攻哑铃	气势头带	弱点保险,12,66.67%,4
,,亿奥斯饼干	猛攻哑铃	气势头带,21,87.5%,2
,,能量增幅器	猛攻哑铃	气势头带,2,50.0%,2
,,亿奥斯饼干	猛攻哑铃	弱点保险,19,79.17%,1
,,能量增幅器	救援屏障	猛攻哑铃,18,72.0%,1
,,得分护盾	亿奥斯饼干	猛攻哑铃,12,75.0%,1
,,得分护盾	猛攻哑铃	气势头带,12,63.16%,1
,,救援屏障	猛攻哑铃	轻石	,9,81.82%,1
,,救援屏障	气势头带	力量头带,9,81.82%,1
,,能量增幅器	猛攻哑铃	弱点保险,3,100.0%,1
,,能量增幅器	亿奥斯饼干	猛攻哑铃,1,100.0%,1
,,猛攻哑铃	轻石		气势头带,0,0.0%,1
19,水箭龟,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,33,3.4%,136,69.04%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,FlyGuyShyGuy,39,62.9%
,,RNSャpyi,17,94.44%
,,훈포도,13,76.47%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,喷水		高速旋转	逃脱按键,124,71.26%,23
,,水炮		高速旋转	逃脱按键,7,70.0%,2
,,水炮		冲浪		逃脱按键,4,44.44%,8
,,喷水		高速旋转	速度强化,1,33.33%,3
,,喷水		高速旋转	向尾喵的尾巴,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,能量增幅器	进击眼镜	气势头带,54,81.82%,11
,,讲究眼镜	救援屏障	气势头带,46,63.89%,4
,,能量增幅器	救援屏障	气势头带,3,60.0%,3
,,救援屏障	进击眼镜	气势头带,3,50.0%,3
,,救援屏障	气势头带	力量头带,2,66.67%,3
,,能量增幅器	救援屏障	进击眼镜,2,40.0%,3
,,讲究眼镜	进击眼镜	气势头带,9,52.94%,2
,,进击眼镜	气势头带	凸凸头盔,3,75.0%,1
,,进击眼镜	气势头带	力量头带,2,100.0%,1
,,讲究眼镜	气势头带	博识眼镜,0,0.0%,1
20,耿鬼,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,27,3.32%,138,71.88%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Ghõst,37,74.0%
,,YORU04,35,77.78%
,,秋津茜,30,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗影球	食梦		逃脱按键,43,68.25%,10
,,暗影球	食梦		速度强化,39,75.0%,3
,,污泥炸弹	祸不单行	逃脱按键,39,73.58%,9
,,暗影球	食梦		攻击强化,6,100.0%,1
,,污泥炸弹	祸不单行	攻击强化,5,55.56%,1
,,暗影球	食梦		万灵药,3,75.0%,3
,,污泥炸弹	食梦		速度强化,1,100.0%,1
,,暗影球	祸不单行	逃脱按键,1,50.0%,2
,,污泥炸弹	祸不单行	万灵药,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	进击眼镜	博识眼镜,118,75.16%,14
,,讲究眼镜	气势头带	博识眼镜,11,57.89%,5
,,讲究眼镜	贝壳之铃	博识眼镜,0,0.0%,2
,,讲究眼镜	进击眼镜	气势头带,3,75.0%,1
,,能量增幅器	贝壳之铃	博识眼镜,2,100.0%,1
,,讲究眼镜	能量增幅器	贝壳之铃,2,66.67%,1
,,讲究眼镜	进击眼镜	贝壳之铃,2,66.67%,1
,,讲究眼镜	救援屏障	博识眼镜,0,0.0%,1
,,讲究眼镜	能量增幅器	博识眼镜,0,0.0%,1
21,沙奈朵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,15,2.85%,120,72.73%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,RNSヤKamiru,40,76.92%
,,blushUwU,28,70.0%
,,ryanxoxo,21,67.74%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,月亮之力	精神冲击	逃脱按键,51,77.27%,2
,,月亮之力	预知未来	逃脱按键,48,68.57%,2
,,月亮之力	预知未来	速度强化,7,63.64%,7
,,精神强念	预知未来	逃脱按键,5,83.33%,3
,,月亮之力	精神冲击	速度强化,4,100.0%,2
,,精神强念	预知未来	速度强化,3,75.0%,3
,,精神强念	精神冲击	速度强化,1,100.0%,1
,,精神强念	精神冲击	逃脱按键,1,33.33%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	救援屏障	博识眼镜,72,73.47%,5
,,讲究眼镜	气势头带	博识眼镜,9,90.0%,3
,,讲究眼镜	救援屏障	贝壳之铃,21,67.74%,1
,,讲究眼镜	贝壳之铃	博识眼镜,11,68.75%,1
,,讲究眼镜	进击眼镜	气势头带,4,100.0%,1
,,讲究眼镜	救援屏障	气势头带,2,100.0%,1
,,讲究眼镜	进击眼镜	博识眼镜,1,100.0%,1
,,讲究眼镜	气势头带	力量头带,0,0.0%,1
22,朽木妖,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,34,2.16%,85,68.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,jatinjwin,20,58.82%
,,TE・FreaK,8,88.89%
,,RTH・skeZeks,8,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,咒术		木角		伤药	,67,67.68%,23
,,咒术		木角		速度强化,17,73.91%,10
,,咒术		木角		逃脱按键,1,100.0%,1
,,咒术		木角		迟缓烟雾,0,0.0%,1
,,木槌		木角		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	气势头带	弱点保险,28,73.68%,9
,,亿奥斯饼干	猛攻哑铃	气势头带,11,68.75%,6
,,救援屏障	气势头带	弱点保险,11,61.11%,6
,,气势头带	力量头带	弱点保险,27,64.29%,5
,,亿奥斯饼干	气势头带	弱点保险,1,50.0%,2
,,救援屏障	气势头带	力量头带,2,100.0%,1
,,亿奥斯饼干	力量头带	弱点保险,2,66.67%,1
,,救援屏障	气势头带	凸凸头盔,1,100.0%,1
,,救援屏障	亿奥斯饼干	气势头带,1,100.0%,1
,,救援屏障	猛攻哑铃	气势头带,1,100.0%,1
,,猛攻哑铃	气势头带	力量头带,0,0.0%,1
23,铝钢龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,11,1.85%,70,65.42%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,IsWillTVツ,29,74.36%
,,TE・FreaK,13,59.09%
,,格安SIMさん,10,62.5%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之波动	龙尾		攻击强化,29,74.36%,2
,,加农光炮	龙尾		攻击强化,14,58.33%,3
,,龙之波动	龙尾		万灵药,10,62.5%,1
,,龙之波动	隐形岩	攻击强化,9,75.0%,1
,,龙之波动	龙尾		逃脱按键,6,60.0%,1
,,加农光炮	龙尾		万灵药,1,100.0%,1
,,加农光炮	龙尾		逃脱按键,1,20.0%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	力量头带	焦点镜,20,58.82%,3
,,猛攻哑铃	力量头带	焦点镜,30,75.0%,2
,,救援屏障	力量头带	焦点镜,1,50.0%,2
,,猛攻哑铃	轻石		力量头带,10,62.5%,1
,,能量增幅器	力量头带	焦点镜,9,75.0%,1
,,进击眼镜	力量头带	锐利之爪,0,0.0%,1
,,气势头带	力量头带	锐利之爪,0,0.0%,1
23,玛力露丽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,32,1.85%,79,73.83%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,dordori,24,88.89%
,,TE・FreaK,14,77.78%
,,크래커-04,7,87.5%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,水之波动	潮旋		攻击强化,48,73.85%,10
,,水之波动	潮旋		速度强化,10,76.92%,6
,,嬉闹		潮旋		得分加速装置,5,100.0%,1
,,嬉闹		潮旋		攻击强化,4,80.0%,4
,,嬉闹		潮旋		速度强化,3,75.0%,4
,,嬉闹		水流尾	速度强化,2,66.67%,3
,,水之波动	水流尾	速度强化,2,66.67%,3
,,水之波动	潮旋		得分加速装置,2,66.67%,1
,,水之波动	潮旋		伤药	,1,100.0%,1
,,水之波动	潮旋		逃脱按键,1,100.0%,1
,,嬉闹		水流尾	攻击强化,1,50.0%,2
,,嬉闹		水流尾	逃脱按键,0,0.0%,1
,,水之波动	潮旋		万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	焦点镜	弱点保险,29,76.32%,6
,,能量增幅器	猛攻哑铃	焦点镜,26,72.22%,6
,,猛攻哑铃	力量头带	焦点镜,8,100.0%,3
,,猛攻哑铃	气势头带	焦点镜,5,83.33%,3
,,能量增幅器	力量头带	焦点镜,1,33.33%,3
,,力量头带	焦点镜	弱点保险,1,50.0%,2
,,救援屏障	猛攻哑铃	焦点镜,2,100.0%,1
,,猛攻哑铃	气势头带	力量头带,1,100.0%,1
,,能量增幅器	救援屏障	焦点镜,1,100.0%,1
,,亿奥斯饼干	猛攻哑铃	弱点保险,1,100.0%,1
,,救援屏障	气势头带	弱点保险,1,100.0%,1
,,猛攻哑铃	气势头带	弱点保险,0,0.0%,1
,,亿奥斯饼干	猛攻哑铃	焦点镜,0,0.0%,1
,,气势头带	力量头带	焦点镜,0,0.0%,1
25,妙蛙花,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,23,1.69%,68,69.39%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,AGK・Emperor,19,73.08%
,,NoBamboozles,18,81.82%
,,暇な東大生,7,58.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,终极吸取	花瓣舞	万灵药,28,71.79%,13
,,污泥炸弹	日光束	逃脱按键,18,78.26%,2
,,污泥炸弹	日光束	速度强化,7,77.78%,2
,,终极吸取	日光束	攻击强化,5,71.43%,2
,,终极吸取	日光束	万灵药,4,57.14%,4
,,终极吸取	日光束	速度强化,3,75.0%,1
,,污泥炸弹	日光束	万灵药,1,100.0%,1
,,终极吸取	花瓣舞	逃脱按键,1,100.0%,1
,,终极吸取	日光束	逃脱按键,1,25.0%,2
,,终极吸取	日光束	伤药	,0,0.0%,1
,,终极吸取	花瓣舞	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	气势头带	力量头带,13,72.22%,6
,,讲究眼镜	气势头带	力量头带,28,70.0%,4
,,讲究眼镜	气势头带	博识眼镜,2,40.0%,4
,,突击背心	救援屏障	气势头带,2,40.0%,3
,,能量增幅器	气势头带	力量头带,1,33.33%,2
,,讲究眼镜	能量增幅器	气势头带,18,81.82%,1
,,讲究眼镜	能量增幅器	博识眼镜,2,100.0%,1
,,讲究眼镜	救援屏障	力量头带,1,100.0%,1
,,能量增幅器	气势头带	博识眼镜,1,50.0%,1
26,狙射树枭,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,32,1.66%,72,75.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,TR・Kyō京,21,84.0%
,,MUn,13,86.67%
,,ENT・ScepTer,9,81.82%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,缝影		影子偷袭	逃脱按键,43,78.18%,16
,,缝影		影子偷袭	速度强化,17,70.83%,10
,,飞叶快刀	影子偷袭	逃脱按键,3,60.0%,3
,,缝影		飞叶风暴	速度强化,2,100.0%,1
,,缝影		飞叶风暴	逃脱按键,2,100.0%,2
,,飞叶快刀	影子偷袭	速度强化,2,66.67%,3
,,缝影		影子偷袭	攻击强化,2,66.67%,2
,,飞叶快刀	飞叶风暴	速度强化,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	锐利之爪	焦点镜,4,50.0%,6
,,猛攻哑铃	气势头带	力量头带,4,100.0%,4
,,猛攻哑铃	力量头带	焦点镜,3,50.0%,4
,,猛攻哑铃	轻石		力量头带,23,85.19%,3
,,轻石		力量头带	焦点镜,3,60.0%,3
,,猛攻哑铃	力量头带	锐利之爪,5,71.43%,2
,,气势头带	力量头带	焦点镜,2,40.0%,2
,,能量增幅器	力量头带	焦点镜,13,86.67%,1
,,猛攻哑铃	轻石		气势头带,9,81.82%,1
,,救援屏障	力量头带	焦点镜,1,100.0%,1
,,猛攻哑铃	锐利之爪	焦点镜,1,100.0%,1
,,猛攻哑铃	学习装置	轻石	,1,100.0%,1
,,救援屏障	气势头带	焦点镜,1,100.0%,1
,,能量增幅器	力量头带	贝壳之铃,1,50.0%,1
,,救援屏障	猛攻哑铃	力量头带,1,50.0%,1
27,仙子伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,19,1.43%,66,79.52%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,昼寝ひみ,24,80.0%
,,5i・Inferno,19,90.48%
,,ZapWarudo,9,81.82%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,巨声		冥想		逃脱按键,47,85.45%,4
,,巨声		冥想		速度强化,18,66.67%,14
,,魔法火焰	吸取之吻	逃脱按键,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	气势头带	博识眼镜,36,83.72%,9
,,讲究眼镜	进击眼镜	气势头带,3,60.0%,4
,,讲究眼镜	进击眼镜	博识眼镜,2,100.0%,2
,,讲究眼镜	救援屏障	气势头带,0,0.0%,2
,,讲究眼镜	贝壳之铃	博识眼镜,24,80.0%,1
,,讲究眼镜	气势头带	贝壳之铃,1,100.0%,1
28,喷火龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,22,1.42%,55,67.07%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,훈포도,13,81.25%
,,LINH,12,80.0%
,,ZapWarudo,10,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,喷射火焰	大字爆炎	攻击强化,22,57.89%,11
,,喷射火焰	大字爆炎	迟缓烟雾,12,80.0%,1
,,喷射火焰	大字爆炎	速度强化,9,64.29%,5
,,喷射火焰	闪焰冲锋	攻击强化,4,100.0%,2
,,喷射火焰	闪焰冲锋	速度强化,2,100.0%,2
,,喷射火焰	大字爆炎	万灵药,2,100.0%,1
,,喷射火焰	闪焰冲锋	万灵药,2,66.67%,1
,,喷射火焰	大字爆炎	逃脱按键,1,100.0%,1
,,喷射火焰	大字爆炎	向尾喵的尾巴,1,100.0%,1
,,火焰拳	大字爆炎	万灵药,0,0.0%,1
,,火焰拳	闪焰冲锋	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	力量头带	焦点镜,17,85.0%,5
,,气势头带	力量头带	焦点镜,1,25.0%,3
,,力量头带	锐利之爪	焦点镜,21,75.0%,2
,,救援屏障	力量头带	焦点镜,0,0.0%,2
,,猛攻哑铃	气势头带	焦点镜,0,0.0%,2
,,能量增幅器	力量头带	焦点镜,10,66.67%,1
,,轻石		力量头带	焦点镜,2,66.67%,1
,,救援屏障	猛攻哑铃	力量头带,1,100.0%,1
,,救援屏障	焦点镜	弱点保险,1,100.0%,1
,,力量头带	焦点镜	弱点保险,1,50.0%,1
,,救援屏障	猛攻哑铃	焦点镜,0,0.0%,1
,,猛攻哑铃	力量头带	弱点保险,0,0.0%,1
29,烈箭鹰,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,14,0.92%,30,56.6%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,暇な東大生,13,56.52%
,,普通リス全一,5,71.43%
,,STMN・Froy,3,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,蓄能焰袭	飞翔		逃脱按键,16,61.54%,7
,,蓄能焰袭	飞翔		得分加速装置,5,62.5%,2
,,蓄能焰袭	飞翔		伤药	,3,75.0%,1
,,燕返		勇鸟猛攻	逃脱按键,2,50.0%,2
,,燕返		勇鸟猛攻	攻击强化,2,33.33%,3
,,蓄能焰袭	飞翔		攻击强化,1,100.0%,1
,,燕返		勇鸟猛攻	万灵药,1,33.33%,1
,,燕返		勇鸟猛攻	迟缓烟雾,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	力量头带	锐利之爪,2,66.67%,2
,,救援屏障	力量头带	锐利之爪,1,50.0%,2
,,猛攻哑铃	气势头带	锐利之爪,1,33.33%,2
,,救援屏障	猛攻哑铃	锐利之爪,13,56.52%,1
,,救援屏障	得分护盾	猛攻哑铃,5,71.43%,1
,,气势头带	锐利之爪	弱点保险,3,75.0%,1
,,能量增幅器	救援屏障	猛攻哑铃,2,66.67%,1
,,能量增幅器	气势头带	锐利之爪,2,50.0%,1
,,猛攻哑铃	轻石		锐利之爪,1,50.0%,1
,,救援屏障	猛攻哑铃	气势头带,0,0.0%,1
,,救援屏障	得分护盾	气势头带,0,0.0%,1
30,魔墙人偶,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,8,0.86%,34,68.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,UT_Kotori,18,62.07%
,,01Agno,7,100.0%
,,V・Dïnāsty,5,83.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,念力		防守互换	速度强化,21,60.0%,4
,,念力		屏障		速度强化,11,84.62%,3
,,精神强念	防守互换	速度强化,1,100.0%,1
,,念力		屏障		伤药	,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,能量增幅器	救援屏障	进击眼镜,2,66.67%,2
,,救援屏障	进击眼镜	学习装置,18,62.07%,1
,,讲究眼镜	气势头带	博识眼镜,7,100.0%,1
,,讲究眼镜	进击眼镜	博识眼镜,5,83.33%,1
,,救援屏障	气势头带	博识眼镜,1,100.0%,1
,,讲究眼镜	救援屏障	博识眼镜,1,33.33%,1
,,讲究眼镜	救援屏障	气势头带,0,0.0%,1
30,胖可丁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,12,0.86%,35,70.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Parasite,16,80.0%
,,JDうらあか,7,63.64%
,,INF・DrakenN,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,魔法闪耀	滚动		逃脱按键,18,81.82%,3
,,魔法闪耀	唱歌		伤药	,7,63.64%,1
,,魔法闪耀	唱歌		逃脱按键,4,50.0%,5
,,连环巴掌	滚动		得分加速装置,1,100.0%,1
,,魔法闪耀	滚动		得分加速装置,1,100.0%,1
,,魔法闪耀	滚动		速度强化,1,100.0%,1
,,连环巴掌	滚动		速度强化,1,100.0%,1
,,连环巴掌	唱歌		逃脱按键,1,50.0%,1
,,魔法闪耀	唱歌		速度强化,1,50.0%,1
,,连环巴掌	滚动		向尾喵的尾巴,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	得分护盾	气势头带,5,55.56%,4
,,救援屏障	学习装置	气势头带,10,62.5%,3
,,救援屏障	气势头带	力量头带,1,50.0%,2
,,救援屏障	亿奥斯饼干	气势头带,16,80.0%,1
,,得分护盾	亿奥斯饼干	气势头带,2,100.0%,1
,,讲究眼镜	救援屏障	气势头带,1,100.0%,1
32,坚盾剑怪,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,31,0.83%,30,62.5%
