,一共游戏场数,5878
1,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,能量增幅器	进击眼镜	博识眼镜,1,100.0%,1
,,讲究眼镜	进击眼镜	贝壳之铃,0,0.0%,1
15,嘟嘟利,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,12,1.85%,73,66.97%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,OH・Olivotec,22,66.67%
,,TE・FreaK,15,68.18%
,,ToonSlim,13,61.9%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,三重攻击		高速移动	攻击强化,15,65.22%,1
,,啄钻		高速移动	得分加速装置,12,66.67%,4
,,三重攻击		飞踢		速度强化,12,60.0%,1
,,啄钻		高速移动	速度强化,11,61.11%,5
,,三重攻击		高速移动	速度强化,8,88.89%,4
,,三重攻击		高速移动	万灵药,6,85.71%,2
,,三重攻击		高速移动	逃脱按键,3,75.0%,1
,,啄钻		飞踢		速度强化,3,50.0%,4
,,啄钻		飞踢		得分加速装置,2,100.0%,1
,,三重攻击		飞踢		万灵药,1,100.0%,1
,,啄钻		高速移动	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	轻石		锐利之爪,34,69.39%,3
,,得分护盾	猛攻哑铃	轻石	,9,69.23%,2
,,能量增幅器	轻石		锐利之爪,22,66.67%,1
,,得分护盾	猛攻哑铃	锐利之爪,3,100.0%,1
,,得分护盾	亿奥斯饼干	猛攻哑铃,2,66.67%,1
,,气势头带	锐利之爪	焦点镜,2,50.0%,1
,,力量头带	锐利之爪	弱点保险,1,100.0%,1
,,轻石		气势头带	凸凸头盔,0,0.0%,1
,,亿奥斯饼干	猛攻哑铃	力量头带,0,0.0%,1
16,妖火红狐,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,29,1.8%,71,66.98%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,MoneyMaxTV,12,80.0%
,,GCT.5ZiR10,9,60.0%
,,MuKrob,5,71.43%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,魔法火焰	蓄能焰袭	速度强化,27,61.36%,12
,,魔法火焰	蓄能焰袭	逃脱按键,19,70.37%,12
,,魔法火焰	火焰旋涡	速度强化,12,70.59%,7
,,魔法火焰	蓄能焰袭	万灵药,8,72.73%,3
,,魔法火焰	火焰旋涡	逃脱按键,5,71.43%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	能量增幅器	贝壳之铃,25,78.12%,7
,,讲究眼镜	气势头带	博识眼镜,6,75.0%,4
,,讲究眼镜	能量增幅器	气势头带,5,62.5%,4
,,能量增幅器	救援屏障	贝壳之铃,5,50.0%,3
,,讲究眼镜	能量增幅器	博识眼镜,9,56.25%,2
,,讲究眼镜	能量增幅器	救援屏障,7,70.0%,2
,,讲究眼镜	气势头带	贝壳之铃,1,50.0%,2
,,能量增幅器	气势头带	博识眼镜,4,80.0%,1
,,能量增幅器	救援屏障	博识眼镜,4,66.67%,1
,,能量增幅器	救援屏障	气势头带,2,100.0%,1
,,讲究眼镜	贝壳之铃	博识眼镜,2,33.33%,1
17,皮卡丘,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,16,1.31%,57,74.03%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,GG・indieツ,27,75.0%
,,GCT.5ZiR10,5,71.43%
,,Rimaaa,4,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,电球		伏特攻击	速度强化,41,71.93%,5
,,打雷		十万伏特	逃脱按键,7,77.78%,5
,,电球		伏特攻击	逃脱按键,5,83.33%,3
,,打雷		伏特攻击	速度强化,3,75.0%,4
,,电球		十万伏特	速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	能量增幅器	救援屏障,5,83.33%,5
,,讲究眼镜	能量增幅器	贝壳之铃,8,80.0%,2
,,讲究眼镜	能量增幅器	气势头带,2,66.67%,2
,,救援屏障	学习装置	力量头带,27,75.0%,1
,,讲究眼镜	能量增幅器	博识眼镜,5,71.43%,1
,,能量增幅器	学习装置	气势头带,4,100.0%,1
,,讲究眼镜	气势头带	博识眼镜,3,50.0%,1
,,救援屏障	气势头带	力量头带,2,66.67%,1
,,讲究眼镜	气势头带	力量头带,1,100.0%,1
,,讲究眼镜	亿奥斯饼干	学习装置,0,0.0%,1
18,怪力,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,14,1.26%,54,72.97%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,HashOP,11,78.57%
,,S8uL・Might,8,80.0%
,,Evilgenius2,8,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,近身战	爆裂拳	逃脱按键,37,77.08%,7
,,十字劈	地狱翻滚	速度强化,6,66.67%,2
,,十字劈	地狱翻滚	逃脱按键,3,100.0%,2
,,十字劈	爆裂拳	逃脱按键,3,42.86%,5
,,近身战	地狱翻滚	逃脱按键,2,100.0%,1
,,近身战	爆裂拳	速度强化,1,100.0%,1
,,十字劈	爆裂拳	速度强化,1,50.0%,1
,,近身战	爆裂拳	万灵药,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	气势头带	力量头带,25,78.12%,5
,,猛攻哑铃	锐利之爪	焦点镜,4,57.14%,3
,,猛攻哑铃	气势头带	焦点镜,11,73.33%,2
,,猛攻哑铃	力量头带	锐利之爪,5,71.43%,1
,,猛攻哑铃	气势头带	弱点保险,4,100.0%,1
,,猛攻哑铃	气势头带	锐利之爪,4,57.14%,1
,,能量增幅器	猛攻哑铃	气势头带,1,50.0%,1
19,象牙猪,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,16,1.09%,42,65.62%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,TE・BarnW,8,66.67%
,,IX・PikaDiff,7,53.85%
,,QLASH・Stark,6,60.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冰柱坠击	十万马力	速度强化,11,68.75%,4
,,冰柱坠击	十万马力	得分加速装置,8,61.54%,2
,,冰柱坠击	十万马力	伤药	,6,60.0%,2
,,冰柱坠击	十万马力	迟缓烟雾,5,62.5%,2
,,冰冻牙	地震		速度强化,3,75.0%,2
,,冰柱坠击	地震		逃脱按键,2,100.0%,1
,,冰柱坠击	十万马力	逃脱按键,2,66.67%,2
,,冰冻牙	十万马力	逃脱按键,2,50.0%,2
,,冰冻牙	十万马力	得分加速装置,1,100.0%,1
,,冰冻牙	地震		逃脱按键,1,100.0%,1
,,冰冻牙	十万马力	迟缓烟雾,1,100.0%,1
,,冰冻牙	十万马力	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,得分护盾	亿奥斯饼干	气势头带,11,64.71%,2
,,猛攻哑铃	气势头带	力量头带,1,33.33%,2
,,救援屏障	亿奥斯饼干	气势头带,8,66.67%,1
,,亿奥斯饼干	学习装置	气势头带,7,53.85%,1
,,气势头带	力量头带	焦点镜,3,60.0%,1
,,亿奥斯饼干	气势头带	力量头带,2,100.0%,1
,,救援屏障	学习装置	气势头带,2,100.0%,1
,,学习装置	气势头带	力量头带,2,100.0%,1
,,得分护盾	气势头带	锐利之爪,1,100.0%,1
,,亿奥斯饼干	猛攻哑铃	气势头带,1,100.0%,1
,,救援屏障	得分护盾	气势头带,1,100.0%,1
,,猛攻哑铃	气势头带	弱点保险,1,100.0%,1
,,救援屏障	气势头带	弱点保险,1,100.0%,1
,,救援屏障	气势头带	力量头带,1,33.33%,1
20,胡帕,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,14,1.07%,48,76.19%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,jㄴ,16,84.21%
,,beastf5,14,87.5%
,,GT・Espo,6,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗影球	异次元洞	得分加速装置,10,83.33%,1
,,潜灵奇袭	异次元洞	速度强化,8,57.14%,6
,,潜灵奇袭	戏法		速度强化,6,66.67%,5
,,潜灵奇袭	异次元洞	逃脱按键,5,100.0%,1
,,异次元猛攻	幻象光线	得分加速装置,4,100.0%,1
,,暗影球	戏法		逃脱按键,4,80.0%,2
,,暗影球	戏法		速度强化,2,100.0%,2
,,暗影球	异次元洞	速度强化,2,100.0%,2
,,暗影球	戏法		伤药	,2,66.67%,1
,,异次元猛攻	幻象光线	逃脱按键,1,100.0%,1
,,潜灵奇袭	异次元洞	得分加速装置,1,100.0%,1
,,异次元猛攻	幻象光线	伤药	,1,100.0%,1
,,异次元猛攻	幻象光线	速度强化,1,100.0%,1
,,潜灵奇袭	戏法		伤药	,1,50.0%,2
,,潜灵奇袭	戏法		攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	气势头带	力量头带,43,81.13%,8
,,救援屏障	气势头带	力量头带,0,0.0%,2
,,救援屏障	学习装置	力量头带,3,100.0%,1
,,能量增幅器	学习装置	力量头带,1,50.0%,1
,,力量头带	锐利之爪	焦点镜,1,50.0%,1
,,能量增幅器	气势头带	力量头带,0,0.0%,1
21,快龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,12,1.05%,42,67.74%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,鞘師,22,62.86%
,,QLASH・Temp0,6,100.0%
,,TDㅣDrAKoni,6,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之舞	破坏光线	伤药	,22,62.86%,1
,,龙之舞	破坏光线	万灵药,7,63.64%,7
,,龙之舞	破坏光线	攻击强化,5,100.0%,1
,,龙之舞	逆鳞		万灵药,4,66.67%,1
,,龙之舞	逆鳞		迟缓烟雾,2,100.0%,1
,,龙之舞	破坏光线	速度强化,1,100.0%,1
,,神速		逆鳞		攻击强化,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	力量头带	焦点镜,8,72.73%,5
,,气势头带	力量头带	锐利之爪,11,78.57%,4
,,力量头带	锐利之爪	焦点镜,22,62.86%,1
,,猛攻哑铃	力量头带	锐利之爪,1,100.0%,1
22,闪焰王牌,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,17,1.02%,44,73.33%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,VisioNㅤ十,11,84.62%
,,MW・Angel十,8,88.89%
,,MW・ÉoMax,7,77.78%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰踢	蓄能焰袭	万灵药,32,78.05%,8
,,火焰踢	蓄能焰袭	逃脱按键,10,66.67%,8
,,火焰踢	蓄能焰袭	攻击强化,1,100.0%,1
,,火焰球	蓄能焰袭	逃脱按键,1,50.0%,2
,,火焰球	佯攻		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	锐利之爪	焦点镜,39,75.0%,11
,,气势头带	力量头带	焦点镜,3,50.0%,4
,,救援屏障	力量头带	焦点镜,2,100.0%,2
23,幸福蛋,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,16,0.97%,36,63.16%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,beastf5,10,76.92%
,,GG・indieツ,8,80.0%
,,RNSヤMaybe,4,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,炸蛋		生蛋		速度强化,21,75.0%,9
,,炸蛋		神秘守护	速度强化,6,60.0%,6
,,帮助		神秘守护	速度强化,6,54.55%,5
,,炸蛋		生蛋		伤药	,2,28.57%,1
,,帮助		神秘守护	得分加速装置,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	学习装置	气势头带,4,36.36%,5
,,救援屏障	得分护盾	气势头带,10,66.67%,3
,,突击背心	得分护盾	学习装置,8,80.0%,1
,,救援屏障	进击眼镜	学习装置,4,80.0%,1
,,亿奥斯饼干	进击眼镜	气势头带,2,28.57%,1
,,得分护盾	进击眼镜	学习装置,1,100.0%,1
,,救援屏障	进击眼镜	气势头带,1,100.0%,1
,,突击背心	救援屏障	气势头带,1,50.0%,1
24,朽木妖,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,16,0.95%,36,64.29%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,TE・FreaK,24,68.57%
,,GhatIue,2,66.67%
,,KainLance,2,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,咒术		分担痛楚	伤药	,24,68.57%,1
,,咒术		木角		速度强化,6,60.0%,8
,,咒术		木角		伤药	,4,66.67%,4
,,咒术		木角		向尾喵的尾巴,1,100.0%,1
,,咒术		木角		逃脱按键,1,50.0%,2
,,咒术		分担痛楚	速度强化,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,亿奥斯饼干	猛攻哑铃	气势头带,31,67.39%,9
,,猛攻哑铃	气势头带	弱点保险,1,50.0%,2
,,猛攻哑铃	气势头带	力量头带,2,66.67%,1
,,突击背心	猛攻哑铃	气势头带,1,100.0%,1
,,亿奥斯饼干	猛攻哑铃	弱点保险,1,50.0%,1
,,能量增幅器	力量头带	贝壳之铃,0,0.0%,1
,,救援屏障	气势头带	力量头带,0,0.0%,1
25,捷拉奥拉,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,18,0.87%,41,80.39%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,R0juu,19,90.48%
,,OGひSolo,5,100.0%
,,ほばち,3,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,伏特替换	放电		攻击强化,27,87.1%,9
,,电光		疯狂伏特	攻击强化,11,84.62%,6
,,电光		疯狂伏特	万灵药,2,66.67%,2
,,伏特替换	放电		向尾喵的尾巴,1,50.0%,1
,,电光		疯狂伏特	伤药	,0,0.0%,1
,,电光		疯狂伏特	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,能量增幅器	气势头带	力量头带,5,100.0%,4
,,气势头带	力量头带	弱点保险,8,88.89%,3
,,猛攻哑铃	气势头带	锐利之爪,19,86.36%,2
,,能量增幅器	力量头带	弱点保险,1,33.33%,2
,,亿奥斯饼干	猛攻哑铃	气势头带,3,100.0%,1
,,气势头带	锐利之爪	弱点保险,2,100.0%,1
,,能量增幅器	救援屏障	弱点保险,1,100.0%,1
,,气势头带	力量头带	锐利之爪,1,50.0%,1
,,猛攻哑铃	锐利之爪	弱点保险,1,50.0%,1
,,力量头带	焦点镜	弱点保险,0,0.0%,1
,,救援屏障	猛攻哑铃	锐利之爪,0,0.0%,1
26,胖可丁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,13,0.8%,30,63.83%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,TE・BarnW,10,55.56%
,,赤海マボ,8,88.89%
,,Noun・BruvHD,4,57.14%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,连环巴掌	唱歌		速度强化,11,57.89%,2
,,魔法闪耀	滚动		逃脱按键,9,81.82%,3
,,魔法闪耀	唱歌		速度强化,4,57.14%,5
,,连环巴掌	唱歌		逃脱按键,3,50.0%,1
,,魔法闪耀	滚动		速度强化,1,100.0%,1
,,魔法闪耀	唱歌		得分加速装置,1,100.0%,1
,,魔法闪耀	唱歌		逃脱按键,1,100.0%,1
,,连环巴掌	唱歌		得分加速装置,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	得分护盾	气势头带,11,73.33%,5
,,突击背心	学习装置	气势头带,10,55.56%,1
,,突击背心	气势头带	力量头带,4,57.14%,1
,,轻石		气势头带	锐利之爪,1,100.0%,1
,,救援屏障	得分护盾	学习装置,1,100.0%,1
,,讲究眼镜	救援屏障	气势头带,1,100.0%,1
,,救援屏障	学习装置	气势头带,1,100.0%,1
,,救援屏障	亿奥斯饼干	进击眼镜,1,50.0%,1
,,讲究眼镜	气势头带	博识眼镜,0,0.0%,1
27,班基拉斯,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,12,0.66%,23,58.97%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,F4・Zeke,7,87.5%
,,GhatIue,3,75.0%
,,ttvPATTIWINS,3,60.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,恶之波动	原始之力	速度强化,19,59.38%,8
,,恶之波动	流沙地狱	速度强化,2,40.0%,2
,,恶之波动	原始之力	伤药	,1,100.0%,1
,,恶之波动	原始之力	万灵药,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	气势头带	弱点保险,13,68.42%,4
,,气势头带	力量头带	弱点保险,5,55.56%,3
,,亿奥斯饼干	猛攻哑铃	气势头带,1,100.0%,1
,,气势头带	力量头带	焦点镜,1,50.0%,1
,,气势头带	锐利之爪	弱点保险,1,50.0%,1
,,救援屏障	气势头带	锐利之爪,1,33.33%,1
,,猛攻哑铃	气势头带	力量头带,1,33.33%,1
28,狙射树枭,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,16,0.58%,18,52.94%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,MW・Angel十,4,66.67%
,,XIS・Mazo,3,60.0%
,,xBlaine,2,50.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,缝影		影子偷袭	逃脱按键,8,72.73%,5
,,缝影		影子偷袭	速度强化,8,40.0%,10
,,飞叶快刀	飞叶风暴	逃脱按键,1,100.0%,1
,,飞叶快刀	影子偷袭	速度强化,1,100.0%,1
,,缝影		飞叶风暴	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	轻石		力量头带,10,55.56%,6
,,气势头带	力量头带	焦点镜,2,66.67%,3
,,猛攻哑铃	力量头带	锐利之爪,2,100.0%,2
,,猛攻哑铃	气势头带	锐利之爪,1,33.33%,2
,,轻石		力量头带	锐利之爪,2,33.33%,1
,,猛攻哑铃	气势头带	力量头带,1,100.0%,1
28,白蓬蓬,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,12,0.58%,23,67.65%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Ghost?ㅤ,10,76.92%
,,GG・indieツ,6,75.0%
,,OGひraithe,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,青草搅拌器	棉花防守	速度强化,17,80.95%,3
,,青草搅拌器	棉孢子	攻击强化,3,50.0%,3
,,花粉团	棉孢子	逃脱按键,1,100.0%,1
,,青草搅拌器	棉花防守	得分加速装置,1,100.0%,1
,,青草搅拌器	棉花防守	攻击强化,1,20.0%,5
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	学习装置	力量头带,17,73.91%,4
,,讲究眼镜	力量头带	博识眼镜,1,100.0%,1
,,救援屏障	气势头带	力量头带,1,100.0%,1
,,气势头带	力量头带	焦点镜,1,100.0%,1
,,讲究眼镜	进击眼镜	博识眼镜,1,50.0%,1
,,讲究眼镜	气势头带	力量头带,1,50.0%,1
,,讲究眼镜	能量增幅器	力量头带,1,50.0%,1
,,学习装置	气势头带	力量头带,0,0.0%,1
,,气势头带	力量头带	锐利之爪,0,0.0%,1
30,呆壳兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,3,0.56%,23,69.7%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Reckzz,22,70.97%
,,GG・indieツ,1,100.0%
,,OGひdev,0,0.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		瞬间失忆	伤药	,22,73.33%,1
,,热水		瞬间失忆	伤药	,1,33.33%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	学习装置	气势头带,22,70.97%,1
,,突击背心	学习装置	气势头带,1,100.0%,1
,,救援屏障	气势头带	凸凸头盔,0,0.0%,1
31,爆肌蚊,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,11,0.49%,21,72.41%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ToonSlim,4,66.67%
,,KurakeOsoru,4,66.67%
,,Kenoken,3,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,击落		蛮力		速度强化,5,83.33%,2
,,猛扑		蛮力		速度强化,5,55.56%,4
,,猛扑		吸血		速度强化,2,100.0%,1
,,猛扑		吸血		逃脱按键,2,100.0%,2
,,击落		蛮力		逃脱按键,2,66.67%,3
,,猛扑		蛮力		逃脱按键,2,50.0%,3
,,击落		吸血		逃脱按键,1,100.0%,1
,,击落		吸血		速度强化,1,100.0%,1
,,猛扑		蛮力		攻击强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	气势头带	弱点保险,6,75.0%,3
,,猛攻哑铃	气势头带	力量头带,4,57.14%,3
,,气势头带	力量头带	弱点保险,3,75.0%,2
,,能量增幅器	气势头带	力量头带,4,66.67%,1
,,猛攻哑铃	力量头带	弱点保险,3,100.0%,1
32,妙蛙花,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,11,0.41%,14,58.33%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Fanri,5,71.43%
,,RB_Ruvis,3,50.0%
,,ToonSlim,2,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,终极吸取	花瓣舞	万灵药,7,70.0%,5
,,终极吸取	日光束	速度强化,5,55.56%,3
,,污泥炸弹	日光束	速度强化,2,66.67%,1
,,终极吸取	日光束	万灵药,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,能量增幅器	气势头带	力量头带,2,100.0%,2
,,讲究眼镜	贝壳之铃	博识眼镜,0,0.0%,2
,,能量增幅器	力量头带	贝壳之铃,5,71.43%,1
,,突击背心	气势头带	力量头带,3,50.0%,1
,,能量增幅器	气势头带	贝壳之铃,2,66.67%,1
,,气势头带	贝壳之铃	博识眼镜,1,100.0%,1
,,救援屏障	得分护盾	气势头带,1,100.0%,1
,,能量增幅器	贝壳之铃	博识眼镜,0,0.0%,1
,,救援屏障	气势头带	力量头带,0,0.0%,1
33,水箭龟,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,6,0.39%,17,73.91%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,xBlaine,10,83.33%
,,S8uL・Might,4,66.67%
,,UnTamed,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,喷水		高速旋转	逃脱按键,15,78.95%,3
,,水炮		冲浪		速度强化,1,100.0%,1
,,水炮		冲浪		逃脱按键,1,50.0%,2
,,喷水		高速旋转	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,能量增幅器	得分护盾	进击眼镜,10,83.33%,1
,,进击眼镜	气势头带	贝壳之铃,4,66.67%,1
,,救援屏障	轻石		力量头带,1,100.0%,1
,,能量增幅器	进击眼镜	气势头带,1,100.0%,1
,,亿奥斯饼干	进击眼镜	学习装置,1,50.0%,1
,,突击背心	救援屏障	学习装置,0,0.0%,1
34,太阳伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,9,0.32%,12,63.16%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ToonSlim,5,55.56%
,,TR・Devesh,3,100.0%
,,Fanri,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神冲击	幻象光线	速度强化,6,75.0%,5
,,辅助力量	预知未来	速度强化,3,75.0%,1
,,精神冲击	幻象光线	逃脱按键,2,50.0%,2
,,精神冲击	预知未来	速度强化,1,100.0%,1
,,精神冲击	预知未来	逃脱按键,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	气势头带	博识眼镜,8,61.54%,3
,,讲究眼镜	进击眼镜	气势头带,2,100.0%,2
,,讲究眼镜	能量增幅器	救援屏障,1,100.0%,1
,,讲究眼镜	进击眼镜	博识眼镜,1,100.0%,1
,,讲究眼镜	救援屏障	进击眼镜,0,0.0%,1
,,能量增幅器	气势头带	贝壳之铃,0,0.0%,1
35,沙奈朵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,8,0.22%,10,76.92%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,MuKrob,4,80.0%
,,Wulf?,1,100.0%
,,SadRekirr,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,月亮之力	精神冲击	逃脱按键,5,83.33%,3
,,精神强念	预知未来	速度强化,2,100.0%,2
,,精神强念	精神冲击	逃脱按键,2,100.0%,2
,,月亮之力	预知未来	逃脱按键,1,100.0%,1
,,月亮之力	预知未来	速度强化,0,0.0%,1
,,月亮之力	精神冲击	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	能量增幅器	博识眼镜,4,100.0%,4
,,讲究眼镜	贝壳之铃	博识眼镜,4,80.0%,1
,,讲究眼镜	气势头带	博识眼镜,1,100.0%,1
,,讲究眼镜	能量增幅器	贝壳之铃,1,50.0%,1
,,讲究眼镜	力量头带	博识眼镜,0,0.0%,1
35,仙子伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,7,0.22%,9,69.23%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
