,一共游戏场数,9896
1,巨钳螳螂,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,弱点保险	气势头带	猛攻哑铃,184,63.67%,42
,,气势头带	猛攻哑铃	锐利之爪,19,79.17%,3
,,弱点保险	猛攻哑铃	连打围巾,2,50.0%,2
,,力量头带	弱点保险	猛攻哑铃,1,100.0%,1
15,烈咬陆鲨,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,22,2.63%,184,70.77%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ハンカ_Iris,91,71.09%
,,マサラの里シ,48,68.57%
,,relentIess,11,61.11%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之俯冲	龙爪		逃脱按键,147,71.01%,16
,,龙之俯冲	龙爪		攻击强化,18,72.0%,2
,,挖洞		地震		逃脱按键,10,52.63%,1
,,挖洞		地震		万灵药,3,100.0%,3
,,龙之俯冲	龙爪		万灵药,2,100.0%,1
,,挖洞		龙爪		逃脱按键,1,100.0%,1
,,龙之俯冲	地震		逃脱按键,1,100.0%,1
,,挖洞		地震		攻击强化,1,100.0%,1
,,挖洞		龙爪		万灵药,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	气势头带	连打围巾,64,71.91%,9
,,力量头带	气势头带	焦点镜,12,85.71%,3
,,力量头带	焦点镜	连打围巾,3,75.0%,3
,,气势头带	焦点镜	连打围巾,11,57.89%,2
,,力量头带	治愈王冠	连打围巾,91,71.09%,1
,,救援屏障	气势头带	治愈王冠,1,100.0%,1
,,焦点镜	能量增幅器	连打围巾,1,100.0%,1
,,力量头带	气势头带	锐利之爪,1,50.0%,1
,,力量头带	弱点保险	气势头带,0,0.0%,1
16,沙奈朵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,38,2.53%,190,76.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,KK_4EVER¿,28,80.0%
,,purplekevin,19,86.36%
,,nb_7,16,88.89%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神强念	精神冲击	逃脱按键,88,77.88%,20
,,月亮之力	精神冲击	逃脱按键,50,74.63%,13
,,精神强念	精神冲击	速度强化,21,72.41%,5
,,精神强念	预知未来	逃脱按键,13,72.22%,6
,,精神强念	精神冲击	万灵药,9,100.0%,2
,,月亮之力	预知未来	逃脱按键,6,60.0%,6
,,月亮之力	预知未来	万灵药,1,100.0%,1
,,月亮之力	精神冲击	速度强化,1,100.0%,1
,,月亮之力	预知未来	速度强化,1,100.0%,1
,,月亮之力	精神冲击	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	能量增幅器	讲究眼镜,65,84.42%,11
,,博识眼镜	讲究眼镜	贝壳之铃,55,76.39%,7
,,博识眼镜	气势头带	讲究眼镜,17,62.96%,7
,,能量增幅器	讲究眼镜	贝壳之铃,20,64.52%,4
,,博识眼镜	救援屏障	讲究眼镜,7,63.64%,3
,,博识眼镜	能量增幅器	贝壳之铃,6,75.0%,3
,,气势头带	讲究眼镜	贝壳之铃,19,86.36%,1
,,力量头带	博识眼镜	讲究眼镜,1,100.0%,1
,,力量头带	气势头带	能量增幅器,0,0.0%,1
17,冰伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,39,2.49%,178,72.36%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,minishep,35,77.78%
,,4lbert_w,31,77.5%
,,QLASH・Anemo,18,90.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冰冻之风	冷冻干燥	逃脱按键,107,73.79%,22
,,冰冻之风	冷冻干燥	速度强化,34,75.56%,6
,,冰冻之风	冷冻干燥	攻击强化,17,85.0%,4
,,冰冻之风	冷冻干燥	万灵药,13,54.17%,4
,,冰锥		冰砾		速度强化,4,66.67%,5
,,冰锥		冰砾		逃脱按键,2,100.0%,2
,,冰冻之风	冰砾		速度强化,1,100.0%,1
,,冰锥		冰砾		攻击强化,0,0.0%,1
,,冰锥		冷冻干燥	逃脱按键,0,0.0%,1
,,冰冻之风	冰砾		万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,焦点镜	能量增幅器	贝壳之铃,69,68.32%,8
,,博识眼镜	能量增幅器	贝壳之铃,39,76.47%,7
,,能量增幅器	讲究眼镜	贝壳之铃,20,86.96%,5
,,博识眼镜	讲究眼镜	贝壳之铃,6,75.0%,5
,,焦点镜	讲究眼镜	贝壳之铃,10,62.5%,4
,,博识眼镜	焦点镜	讲究眼镜,7,87.5%,3
,,博识眼镜	能量增幅器	讲究眼镜,2,33.33%,3
,,博识眼镜	焦点镜	能量增幅器,18,90.0%,1
,,博识眼镜	救援屏障	能量增幅器,6,54.55%,1
,,力量头带	讲究眼镜	进击眼镜,1,100.0%,1
,,焦点镜	能量增幅器	讲究眼镜,0,0.0%,1
18,闪焰王牌,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,42,2.38%,169,71.61%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,minishep,54,67.5%
,,QLASH・Anemo,31,83.78%
,,OЯG・Aramis,9,81.82%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰踢	蓄能焰袭	攻击强化,78,67.83%,11
,,火焰踢	蓄能焰袭	万灵药,62,78.48%,21
,,火焰踢	蓄能焰袭	逃脱按键,17,68.0%,12
,,火焰踢	佯攻		逃脱按键,6,66.67%,3
,,火焰踢	佯攻		攻击强化,4,80.0%,3
,,火焰踢	佯攻		万灵药,1,100.0%,1
,,火焰球	蓄能焰袭	逃脱按键,1,100.0%,1
,,火焰球	佯攻		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	连打围巾,155,72.09%,36
,,力量头带	猛攻哑铃	连打围巾,6,75.0%,2
,,力量头带	气势头带	连打围巾,6,60.0%,1
,,力量头带	救援屏障	连打围巾,1,100.0%,1
,,力量头带	焦点镜	锐利之爪,1,100.0%,1
,,力量头带	气势头带	焦点镜,0,0.0%,1
19,太阳伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,37,2.35%,160,68.67%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,luke_lol_123,44,68.75%
,,ttvYard,21,80.77%
,,한월36,20,52.63%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神冲击	幻象光线	逃脱按键,93,73.23%,19
,,辅助力量	预知未来	逃脱按键,15,50.0%,8
,,辅助力量	幻象光线	逃脱按键,14,63.64%,5
,,精神冲击	幻象光线	速度强化,13,76.47%,7
,,辅助力量	预知未来	速度强化,11,61.11%,2
,,精神冲击	预知未来	逃脱按键,7,77.78%,4
,,精神冲击	预知未来	速度强化,6,85.71%,2
,,辅助力量	预知未来	伤药	,1,50.0%,1
,,辅助力量	幻象光线	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	讲究眼镜	贝壳之铃,22,75.86%,10
,,博识眼镜	救援屏障	讲究眼镜,38,82.61%,5
,,博识眼镜	气势头带	讲究眼镜,27,57.45%,5
,,博识眼镜	讲究眼镜	进击眼镜,49,67.12%,4
,,救援屏障	能量增幅器	讲究眼镜,9,90.0%,4
,,博识眼镜	能量增幅器	讲究眼镜,7,70.0%,3
,,能量增幅器	讲究眼镜	贝壳之铃,1,50.0%,2
,,博识眼镜	气势头带	贝壳之铃,3,60.0%,1
,,气势头带	讲究眼镜	贝壳之铃,2,66.67%,1
,,博识眼镜	气势头带	进击眼镜,1,33.33%,1
,,博识眼镜	学习装置	讲究眼镜,1,20.0%,1
20,怪力,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,46,2.32%,170,73.91%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,BR_YuponoYT,34,79.07%
,,YASH_4E,24,72.73%
,,VanQuisher__,14,82.35%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,近身战	爆裂拳	逃脱按键,85,72.65%,22
,,十字劈	爆裂拳	逃脱按键,61,74.39%,30
,,近身战	深渊翻滚	逃脱按键,6,100.0%,1
,,近身战	爆裂拳	攻击强化,6,85.71%,2
,,近身战	爆裂拳	万灵药,5,83.33%,2
,,十字劈	深渊翻滚	逃脱按键,5,62.5%,3
,,近身战	深渊翻滚	万灵药,1,100.0%,1
,,十字劈	爆裂拳	攻击强化,1,100.0%,1
,,十字劈	深渊翻滚	速度强化,0,0.0%,1
,,十字劈	深渊翻滚	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,27,75.0%,7
,,焦点镜	猛攻哑铃	锐利之爪,13,86.67%,6
,,气势头带	猛攻哑铃	锐利之爪,7,77.78%,6
,,力量头带	焦点镜	猛攻哑铃,28,70.0%,4
,,学习装置	猛攻哑铃	能量增幅器,41,75.93%,3
,,气势头带	焦点镜	猛攻哑铃,12,85.71%,3
,,弱点保险	猛攻哑铃	锐利之爪,9,100.0%,3
,,力量头带	气势头带	猛攻哑铃,5,62.5%,3
,,弱点保险	焦点镜	猛攻哑铃,9,69.23%,2
,,焦点镜	猛攻哑铃	能量增幅器,1,50.0%,2
,,猛攻哑铃	能量增幅器	锐利之爪,1,50.0%,2
,,猛攻哑铃	能量增幅器	轻石,9,64.29%,1
,,弱点保险	猛攻哑铃	能量增幅器,6,85.71%,1
,,气势头带	猛攻哑铃	能量增幅器,1,50.0%,1
,,力量头带	气势头带	连打围巾,1,25.0%,1
,,力量头带	猛攻哑铃	能量增幅器,0,0.0%,1
21,玛力露丽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,40,2.21%,170,77.63%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,亗・Proxie,29,78.38%
,,こくんだよぉ,26,78.79%
,,TRU・MaxzinN,24,85.71%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,水之波动	水流尾	速度强化,114,77.03%,27
,,水之波动	水流尾	万灵药,37,82.22%,9
,,水之波动	水流尾	攻击强化,7,87.5%,3
,,水之波动	水流尾	伤药	,5,83.33%,1
,,水之波动	水流尾	逃脱按键,4,50.0%,1
,,嬉闹		水流尾	速度强化,2,66.67%,3
,,嬉闹		潮旋		速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	焦点镜	猛攻哑铃,105,80.15%,16
,,气势头带	焦点镜	猛攻哑铃,13,54.17%,9
,,力量头带	焦点镜	猛攻哑铃,24,77.42%,8
,,弱点保险	气势头带	猛攻哑铃,2,66.67%,3
,,焦点镜	猛攻哑铃	能量增幅器,19,82.61%,2
,,力量头带	气势头带	焦点镜,6,100.0%,1
,,治愈王冠	焦点镜	猛攻哑铃,1,100.0%,1
22,古月鸟,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,34,1.98%,136,69.39%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,OT_amot,24,75.0%
,,JPN_Kotori,14,82.35%
,,YORU04,11,68.75%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,潜水		空气之刃	逃脱按键,122,70.11%,29
,,潜水		空气之刃	攻击强化,8,57.14%,1
,,潜水		空气之刃	伤药	,3,100.0%,1
,,冲浪		暴风		逃脱按键,3,75.0%,4
,,冲浪		空气之刃	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	气势头带	讲究眼镜,14,48.28%,5
,,气势头带	能量增幅器	讲究眼镜,32,71.11%,4
,,气势头带	讲究眼镜	进击眼镜,7,77.78%,3
,,亿奥斯饼干	气势头带	能量增幅器,16,84.21%,2
,,博识眼镜	能量增幅器	讲究眼镜,10,58.82%,2
,,博识眼镜	救援屏障	讲究眼镜,4,80.0%,2
,,博识眼镜	讲究眼镜	进击眼镜,1,50.0%,2
,,救援屏障	气势头带	讲究眼镜,1,50.0%,2
,,亿奥斯饼干	博识眼镜	进击眼镜,14,82.35%,1
,,博识眼镜	救援屏障	能量增幅器,11,68.75%,1
,,博识眼镜	讲究眼镜	贝壳之铃,10,90.91%,1
,,能量增幅器	讲究眼镜	进击眼镜,4,100.0%,1
,,气势头带	能量增幅器	贝壳之铃,4,66.67%,1
,,博识眼镜	学习装置	讲究眼镜,2,100.0%,1
,,气势头带	能量增幅器	进击眼镜,2,50.0%,1
,,力量头带	气势头带	讲究眼镜,1,100.0%,1
,,救援屏障	能量增幅器	讲究眼镜,1,100.0%,1
,,救援屏障	讲究眼镜	进击眼镜,1,50.0%,1
,,亿奥斯饼干	讲究眼镜	进击眼镜,1,33.33%,1
,,博识眼镜	能量增幅器	贝壳之铃,0,0.0%,1
23,白蓬蓬,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,44,1.84%,135,74.18%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Joеy,21,67.74%
,,Sazuroさ,20,80.0%
,,Mystical六,12,92.31%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,花粉团	棉花防守	速度强化,46,83.64%,11
,,花粉团	棉孢子	速度强化,26,83.87%,2
,,花粉团	棉花防守	万灵药,22,68.75%,3
,,花粉团	棉花防守	攻击强化,17,68.0%,15
,,花粉团	棉孢子	攻击强化,9,69.23%,5
,,青草搅拌器	棉花防守	攻击强化,4,100.0%,2
,,花粉团	棉花防守	伤药	,2,66.67%,3
,,青草搅拌器	棉孢子	攻击强化,2,66.67%,3
,,花粉团	棉孢子	伤药	,2,50.0%,2
,,青草搅拌器	棉花防守	万灵药,1,100.0%,1
,,青草搅拌器	棉孢子	逃脱按键,1,100.0%,1
,,花粉团	棉孢子	逃脱按键,1,100.0%,1
,,花粉团	棉孢子	迟缓烟雾,1,100.0%,1
,,花粉团	棉花防守	逃脱按键,1,25.0%,3
,,青草搅拌器	棉花防守	速度强化,0,0.0%,3
,,花粉团	棉花防守	迟缓烟雾,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	学习装置	救援屏障,34,72.34%,9
,,力量头带	学习装置	连打围巾,19,70.37%,6
,,学习装置	救援屏障	气势头带,26,78.79%,5
,,学习装置	救援屏障	连打围巾,17,85.0%,5
,,力量头带	气势头带	连打围巾,6,60.0%,4
,,力量头带	博识眼镜	学习装置,4,80.0%,2
,,博识眼镜	讲究眼镜	进击眼镜,2,100.0%,2
,,力量头带	讲究眼镜	连打围巾,2,66.67%,2
,,学习装置	贝壳之铃	进击眼镜,20,80.0%,1
,,博识眼镜	气势头带	连打围巾,1,100.0%,1
,,博识眼镜	学习装置	救援屏障,1,100.0%,1
,,学习装置	气势头带	讲究眼镜,1,100.0%,1
,,博识眼镜	救援屏障	讲究眼镜,1,100.0%,1
,,气势头带	讲究眼镜	连打围巾,1,50.0%,1
,,博识眼镜	学习装置	连打围巾,0,0.0%,1
,,博识眼镜	学习装置	贝壳之铃,0,0.0%,1
,,博识眼镜	救援屏障	气势头带,0,0.0%,1
23,班基拉斯,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,27,1.84%,129,70.88%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,99ムSensei,29,65.91%
,,McToffin,19,73.08%
,,敵外人ざくす,15,65.22%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,恶之波动	原始之力	速度强化,106,70.2%,22
,,恶之波动	原始之力	万灵药,13,86.67%,4
,,恶之波动	流沙深渊	万灵药,4,66.67%,2
,,恶之波动	原始之力	攻击强化,3,100.0%,1
,,恶之波动	原始之力	逃脱按键,3,60.0%,1
,,尖石攻击	流沙深渊	速度强化,0,0.0%,1
,,恶之波动	原始之力	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,21,63.64%,8
,,弱点保险	气势头带	连打围巾,16,72.73%,3
,,力量头带	弱点保险	气势头带,13,76.47%,3
,,力量头带	气势头带	连打围巾,8,88.89%,2
,,弱点保险	气势头带	锐利之爪,7,70.0%,2
,,力量头带	救援屏障	气势头带,2,100.0%,2
,,力量头带	轻石	连打围巾,29,65.91%,1
,,力量头带	救援屏障	轻石,19,73.08%,1
,,气势头带	猛攻哑铃	锐利之爪,5,83.33%,1
,,气势头带	猛攻哑铃	轻石,3,75.0%,1
,,亿奥斯饼干	气势头带	猛攻哑铃,3,75.0%,1
,,弱点保险	气势头带	焦点镜,3,75.0%,1
,,力量头带	气势头带	猛攻哑铃,0,0.0%,1
25,妙蛙花,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,37,1.61%,111,69.81%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Gow_kt.,46,65.71%
,,ßrøteinShake,10,83.33%
,,조사님조샹,8,61.54%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,终极吸取	花瓣舞	万灵药,51,79.69%,27
,,终极吸取	花瓣舞	逃脱按键,47,67.14%,3
,,污泥炸弹	日光束	逃脱按键,11,61.11%,6
,,污泥炸弹	日光束	万灵药,1,100.0%,1
,,终极吸取	日光束	万灵药,1,50.0%,1
,,终极吸取	日光束	速度强化,0,0.0%,1
,,污泥炸弹	日光束	速度强化,0,0.0%,1
,,终极吸取	日光束	逃脱按键,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	救援屏障	气势头带,66,70.21%,10
,,力量头带	气势头带	连打围巾,10,62.5%,10
,,力量头带	气势头带	能量增幅器,5,100.0%,2
,,救援屏障	气势头带	连打围巾,4,66.67%,2
,,博识眼镜	能量增幅器	讲究眼镜,2,100.0%,2
,,气势头带	能量增幅器	连打围巾,2,100.0%,2
,,力量头带	气势头带	贝壳之铃,10,83.33%,1
,,能量增幅器	讲究眼镜	进击眼镜,8,61.54%,1
,,能量增幅器	贝壳之铃	连打围巾,2,66.67%,1
,,气势头带	能量增幅器	贝壳之铃,1,100.0%,1
,,博识眼镜	讲究眼镜	进击眼镜,1,100.0%,1
,,博识眼镜	讲究眼镜	贝壳之铃,0,0.0%,1
,,气势头带	能量增幅器	讲究眼镜,0,0.0%,1
,,力量头带	博识眼镜	讲究眼镜,0,0.0%,1
,,救援屏障	气势头带	能量增幅器,0,0.0%,1
26,皮可西,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,24,1.58%,114,73.08%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Twist3xd_TTV,25,75.76%
,,999Rxinz,21,77.78%
,,Noun・BruvHD,13,81.25%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,月光		重力		速度强化,41,69.49%,10
,,吸取之吻	看我嘛	逃脱按键,26,76.47%,7
,,吸取之吻	看我嘛	速度强化,17,94.44%,9
,,吸取之吻	看我嘛	伤药	,8,80.0%,2
,,月光		重力		逃脱按键,8,57.14%,4
,,月光		看我嘛	速度强化,5,71.43%,3
,,吸取之吻	重力		逃脱按键,4,80.0%,1
,,吸取之吻	重力		速度强化,3,60.0%,1
,,吸取之吻	看我嘛	万灵药,2,100.0%,1
,,月光		看我嘛	逃脱按键,0,0.0%,1
,,月光		看我嘛	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	救援屏障	进击眼镜,13,68.42%,3
,,学习装置	救援屏障	气势头带,12,66.67%,3
,,学习装置	气势头带	能量增幅器,26,76.47%,2
,,学习装置	救援屏障	能量增幅器,18,85.71%,2
,,博识眼镜	讲究眼镜	进击眼镜,8,88.89%,2
,,气势头带	能量增幅器	进击眼镜,21,77.78%,1
,,救援屏障	气势头带	贝壳之铃,7,70.0%,1
,,博识眼镜	气势头带	进击眼镜,2,100.0%,1
,,气势头带	讲究眼镜	进击眼镜,2,100.0%,1
,,学习装置	救援屏障	讲究眼镜,1,100.0%,1
,,学习装置	气势头带	进击眼镜,1,50.0%,1
,,救援屏障	气势头带	能量增幅器,1,50.0%,1
,,博识眼镜	学习装置	能量增幅器,1,33.33%,1
,,救援屏障	能量增幅器	贝壳之铃,1,33.33%,1
,,亿奥斯饼干	能量增幅器	进击眼镜,0,0.0%,1
,,博识眼镜	学习装置	气势头带,0,0.0%,1
,,亿奥斯饼干	气势头带	进击眼镜,0,0.0%,1
27,耿鬼,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,20,1.38%,90,65.69%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,艮,23,56.1%
,,IMP_PIRATE,22,75.86%
,,んフトスト,20,83.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗影球	食梦		逃脱按键,40,67.8%,12
,,暗影球	食梦		速度强化,25,56.82%,3
,,污泥炸弹	祸不单行	万灵药,22,73.33%,3
,,暗影球	食梦		万灵药,2,66.67%,3
,,暗影球	食梦		攻击强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	讲究眼镜	进击眼镜,74,67.27%,14
,,博识眼镜	气势头带	讲究眼镜,5,71.43%,2
,,气势头带	讲究眼镜	进击眼镜,1,25.0%,2
,,亿奥斯饼干	讲究眼镜	进击眼镜,10,66.67%,1
,,博识眼镜	救援屏障	讲究眼镜,0,0.0%,1
28,水箭龟,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,31,1.26%,88,70.4%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,99ムSensei,19,70.37%
,,McToffin,16,66.67%
,,Noun・BruvHD,7,87.5%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,喷水		高速旋转	逃脱按键,56,72.73%,16
,,水炮		冲浪		逃脱按键,19,73.08%,13
,,水炮		高速旋转	逃脱按键,12,66.67%,4
,,水炮		冲浪		速度强化,1,50.0%,1
,,喷水		高速旋转	伤药	,0,0.0%,1
,,喷水		冲浪		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	能量增幅器	进击眼镜,5,83.33%,4
,,力量头带	气势头带	连打围巾,9,81.82%,3
,,力量头带	学习装置	气势头带,4,100.0%,3
,,气势头带	讲究眼镜	进击眼镜,20,71.43%,2
,,力量头带	气势头带	进击眼镜,17,68.0%,2
,,博识眼镜	气势头带	讲究眼镜,5,71.43%,2
,,亿奥斯饼干	气势头带	进击眼镜,3,75.0%,2
,,气势头带	能量增幅器	讲究眼镜,2,100.0%,2
,,学习装置	气势头带	能量增幅器,6,100.0%,1
,,救援屏障	气势头带	进击眼镜,5,45.45%,1
,,学习装置	救援屏障	气势头带,4,66.67%,1
,,亿奥斯饼干	救援屏障	气势头带,3,50.0%,1
,,学习装置	气势头带	讲究眼镜,2,66.67%,1
,,学习装置	救援屏障	能量增幅器,1,100.0%,1
,,气势头带	进击眼镜	连打围巾,1,100.0%,1
,,力量头带	气势头带	能量增幅器,1,100.0%,1
,,博识眼镜	气势头带	进击眼镜,0,0.0%,1
,,亿奥斯饼干	得分护盾	气势头带,0,0.0%,1
,,亿奥斯饼干	能量增幅器	进击眼镜,0,0.0%,1
29,爆肌蚊,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,30,1.18%,71,60.68%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,realin,15,55.56%
,,OrdinaryPLAY,10,76.92%
,,JPN_Kotori,9,69.23%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛扑		蛮力		逃脱按键,23,52.27%,9
,,击落		蛮力		逃脱按键,14,70.0%,9
,,猛扑		蛮力		攻击强化,10,66.67%,2
,,猛扑		蛮力		速度强化,8,61.54%,1
,,击落		蛮力		攻击强化,4,80.0%,3
,,击落		蛮力		速度强化,4,66.67%,3
,,猛扑		蛮力		万灵药,2,50.0%,3
,,击落		蛮力		伤药	,1,100.0%,1
,,猛扑		汲取		万灵药,1,100.0%,1
,,击落		汲取		逃脱按键,1,100.0%,1
,,猛扑		蛮力		伤药	,1,100.0%,1
,,猛扑		汲取		逃脱按键,1,50.0%,2
,,击落		蛮力		万灵药,1,50.0%,2
,,猛扑		汲取		攻击强化,0,0.0%,1
,,击落		汲取		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,12,60.0%,5
,,力量头带	气势头带	猛攻哑铃,6,50.0%,5
,,力量头带	猛攻哑铃	连打围巾,4,66.67%,3
,,气势头带	猛攻哑铃	连打围巾,4,57.14%,3
,,力量头带	弱点保险	气势头带,16,55.17%,2
,,气势头带	猛攻哑铃	锐利之爪,5,100.0%,2
,,力量头带	气势头带	连打围巾,2,50.0%,2
,,治愈王冠	猛攻哑铃	锐利之爪,10,76.92%,1
,,学习装置	气势头带	轻石,9,69.23%,1
,,力量头带	弱点保险	猛攻哑铃,1,100.0%,1
,,亿奥斯饼干	得分护盾	猛攻哑铃,1,100.0%,1
,,亿奥斯饼干	力量头带	猛攻哑铃,1,50.0%,1
,,力量头带	猛攻哑铃	锐利之爪,0,0.0%,1
,,弱点保险	气势头带	连打围巾,0,0.0%,1
,,力量头带	学习装置	气势头带,0,0.0%,1
30,阿勃梭鲁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,28,1.15%,85,74.56%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,MoM·Parasite,34,77.27%
,,Æ·player666,10,76.92%
,,relentIess,5,83.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,追打		精神利刃	攻击强化,38,77.55%,2
,,暗袭要害	突袭		逃脱按键,13,72.22%,4
,,暗袭要害	精神利刃	攻击强化,7,77.78%,3
,,暗袭要害	精神利刃	逃脱按键,5,71.43%,7
,,追打		突袭		伤药	,5,71.43%,2
,,暗袭要害	突袭		攻击强化,4,66.67%,1
,,追打		精神利刃	万灵药,3,100.0%,3
,,追打		突袭		万灵药,3,60.0%,2
,,追打		精神利刃	伤药	,2,100.0%,2
,,暗袭要害	精神利刃	万灵药,2,100.0%,2
