,一共游戏场数,12590
1,达克莱伊,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,飞叶快刀	燕返		攻击强化,209,66.56%,64
,,飞叶快刀	燕返		逃脱按键,26,57.78%,13
,,飞叶快刀	燕返		万灵药,16,84.21%,9
,,日光刃	叶刃		逃脱按键,2,100.0%,2
,,飞叶快刀	叶刃		攻击强化,1,100.0%,1
,,日光刃	叶刃		攻击强化,1,100.0%,1
,,飞叶快刀	燕返		速度强化,1,50.0%,2
,,飞叶快刀	叶刃		伤药	,0,0.0%,1
,,日光刃	燕返		攻击强化,0,0.0%,1
,,日光刃	燕返		逃脱按键,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	能量增幅器	锐利之爪,181,67.29%,69
,,猛攻哑铃	轻石	锐利之爪,6,60.0%,5
,,充能坠饰	猛攻哑铃	锐利之爪,1,33.33%,3
,,弱点保险	猛攻哑铃	锐利之爪,61,64.21%,2
,,学习装置	猛攻哑铃	锐利之爪,1,50.0%,2
,,充能坠饰	猛攻哑铃	能量增幅器,1,33.33%,2
,,充能坠饰	猛攻哑铃	轻石,2,100.0%,1
,,能量增幅器	轻石	锐利之爪,2,100.0%,1
,,充能坠饰	力量头带	猛攻哑铃,1,100.0%,1
,,猛攻哑铃	能量增幅器	轻石,0,0.0%,1
14,嘟嘟利,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,69,2.75%,258,74.57%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,yumi_umi,37,75.51%
,,KAiシ,18,78.26%
,,回国,13,81.25%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,三重攻击	飞踢		万灵药,208,74.29%,64
,,三重攻击	高速移动	速度强化,37,75.51%,1
,,啄钻		飞踢		万灵药,8,66.67%,9
,,三重攻击	高速移动	万灵药,4,100.0%,3
,,三重攻击	飞踢		脱壳忍者玩偶,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,充能坠饰	猛攻哑铃	锐利之爪,228,74.27%,54
,,猛攻哑铃	轻石	锐利之爪,18,72.0%,9
,,充能坠饰	猛攻哑铃	轻石,5,100.0%,2
,,亿奥斯饼干	猛攻哑铃	锐利之爪,4,100.0%,2
,,共鸣护盾	能量增幅器	轻石,2,100.0%,1
,,猛攻哑铃	能量增幅器	锐利之爪,1,33.33%,1
15,路卡利欧,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,74,2.72%,245,71.64%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,chärlotte,27,75.0%
,,V6ジュンイチ,13,86.67%
,,MyG_ChenX,12,85.71%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,增强拳	近身战	逃脱按键,113,70.19%,37
,,神速		骨棒乱打	万灵药,77,68.75%,41
,,增强拳	近身战	攻击强化,16,88.89%,2
,,增强拳	近身战	万灵药,9,81.82%,3
,,神速		近身战	万灵药,9,75.0%,3
,,增强拳	骨棒乱打	万灵药,6,85.71%,2
,,神速		骨棒乱打	速度强化,5,100.0%,1
,,增强拳	近身战	速度强化,4,50.0%,3
,,神速		骨棒乱打	逃脱按键,3,75.0%,3
,,增强拳	骨棒乱打	逃脱按键,1,100.0%,1
,,神速		近身战	逃脱按键,1,100.0%,1
,,增强拳	骨棒乱打	速度强化,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	弱点保险	猛攻哑铃,79,65.83%,30
,,弱点保险	猛攻哑铃	锐利之爪,74,73.27%,22
,,力量头带	猛攻哑铃	锐利之爪,21,67.74%,9
,,充能坠饰	弱点保险	猛攻哑铃,15,83.33%,3
,,力量头带	猛攻哑铃	轻石,13,86.67%,1
,,猛攻哑铃	轻石	锐利之爪,9,100.0%,1
,,弱点保险	猛攻哑铃	能量增幅器,9,52.94%,1
,,学习装置	猛攻哑铃	锐利之爪,5,100.0%,1
,,弱点保险	猛攻哑铃	轻石,3,100.0%,1
,,力量头带	猛攻哑铃	能量增幅器,2,66.67%,1
,,咒术手镯	猛攻哑铃	锐利之爪,2,66.67%,1
,,弱点保险	气势头带	猛攻哑铃,1,50.0%,1
,,气势头带	猛攻哑铃	锐利之爪,0,0.0%,1
16,阿罗拉九尾,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,49,2.61%,245,74.7%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,狐淵亥奈,58,72.5%
,,和-SPEXTURE,46,71.88%
,,爽滑慢舔苍响,36,72.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,雪崩		暴风雪	逃脱按键,200,73.8%,41
,,魔法闪耀	极光幕	逃脱按键,25,80.65%,7
,,雪崩		暴风雪	脱壳忍者玩偶,9,64.29%,2
,,魔法闪耀	极光幕	攻击强化,6,85.71%,3
,,雪崩		暴风雪	万灵药,2,100.0%,1
,,雪崩		暴风雪	速度强化,1,100.0%,1
,,雪崩		暴风雪	伤药	,1,100.0%,1
,,雪崩		极光幕	脱壳忍者玩偶,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,咒术熏香	穿透汤匙	讲究眼镜,6,75.0%,7
,,博识眼镜	穿透汤匙	讲究眼镜,54,69.23%,6
,,博识眼镜	咒术熏香	穿透汤匙,14,82.35%,6
,,穿透汤匙	能量增幅器	讲究眼镜,6,66.67%,4
,,博识眼镜	穿透汤匙	能量增幅器,3,75.0%,4
,,力量头带	气势头带	连打围巾,1,33.33%,3
,,救援屏障	穿透汤匙	讲究眼镜,15,93.75%,2
,,力量头带	穿透汤匙	连打围巾,4,100.0%,2
,,咒术熏香	学习装置	穿透汤匙,3,75.0%,2
,,博识眼镜	讲究眼镜	贝壳之铃,2,100.0%,2
,,能量增幅器	讲究眼镜	贝壳之铃,58,72.5%,1
,,博识眼镜	学习装置	讲究眼镜,36,72.0%,1
,,学习装置	气势头带	连打围巾,19,79.17%,1
,,咒术熏香	气势头带	穿透汤匙,6,85.71%,1
,,博识眼镜	能量增幅器	贝壳之铃,5,71.43%,1
,,力量头带	穿透汤匙	讲究眼镜,3,100.0%,1
,,博识眼镜	咒术熏香	讲究眼镜,3,100.0%,1
,,博识眼镜	气势头带	穿透汤匙,3,75.0%,1
,,气势头带	穿透汤匙	连打围巾,2,66.67%,1
,,力量头带	咒术熏香	穿透汤匙,1,100.0%,1
,,咒术熏香	救援屏障	穿透汤匙,1,100.0%,1
17,武道熊师,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,66,2.02%,173,68.11%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,@_Iñvîsíbìé,56,77.78%
,,Serika愛,8,80.0%
,,騙さない,8,57.14%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗冥强击	深渊突刺	逃脱按键,93,65.03%,53
,,暗冥强击	深渊突刺	攻击强化,57,77.03%,3
,,水流连打	水流裂破	万灵药,16,72.73%,12
,,暗冥强击	深渊突刺	万灵药,2,100.0%,2
,,暗冥强击	深渊突刺	速度强化,2,25.0%,4
,,水流连打	水流裂破	迟缓烟雾,1,100.0%,1
,,水流连打	水流裂破	逃脱按键,1,50.0%,2
,,暗冥强击	深渊突刺	伤药	,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	猛攻哑铃	锐利之爪,55,64.71%,28
,,力量头带	弱点保险	锐利之爪,19,67.86%,8
,,弱点保险	猛攻哑铃	锐利之爪,10,58.82%,7
,,焦点镜	猛攻哑铃	锐利之爪,64,77.11%,5
,,力量头带	焦点镜	猛攻哑铃,4,57.14%,3
,,气势头带	猛攻哑铃	锐利之爪,5,55.56%,2
,,力量头带	弱点保险	猛攻哑铃,3,75.0%,2
,,弱点保险	焦点镜	锐利之爪,0,0.0%,2
,,力量头带	学习装置	锐利之爪,3,100.0%,1
,,力量头带	焦点镜	锐利之爪,3,75.0%,1
,,力量头带	能量增幅器	锐利之爪,2,100.0%,1
,,充能坠饰	力量头带	焦点镜,2,66.67%,1
,,猛攻哑铃	能量增幅器	锐利之爪,1,100.0%,1
,,学习装置	救援屏障	能量增幅器,1,100.0%,1
,,学习装置	猛攻哑铃	锐利之爪,1,50.0%,1
,,力量头带	能量增幅器	连打围巾,0,0.0%,1
,,焦点镜	能量增幅器	锐利之爪,0,0.0%,1
18,烈咬陆鲨,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,53,1.89%,172,72.27%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,RSURA00,29,69.05%
,,흑흑때리지망,27,81.82%
,,ぎるーて?,13,81.25%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之俯冲	龙爪		逃脱按键,162,72.97%,49
,,龙之俯冲	龙爪		攻击强化,9,69.23%,3
,,龙之俯冲	龙爪		万灵药,1,33.33%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	连打围巾,40,72.73%,13
,,力量头带	气势头带	连打围巾,16,88.89%,5
,,力量头带	弱点保险	连打围巾,14,73.68%,4
,,气势头带	猛攻哑铃	连打围巾,8,72.73%,4
,,弱点保险	气势头带	连打围巾,7,53.85%,4
,,力量头带	弱点保险	气势头带,6,75.0%,4
,,气势头带	焦点镜	连打围巾,2,33.33%,4
,,弱点保险	猛攻哑铃	连打围巾,19,73.08%,3
,,力量头带	气势头带	猛攻哑铃,2,66.67%,2
,,治愈王冠	焦点镜	猛攻哑铃,29,69.05%,1
,,弱点保险	治愈王冠	连打围巾,11,78.57%,1
,,力量头带	气势头带	焦点镜,6,100.0%,1
,,弱点保险	猛攻哑铃	能量增幅器,5,100.0%,1
,,力量头带	弱点保险	焦点镜,5,71.43%,1
,,力量头带	猛攻哑铃	连打围巾,1,100.0%,1
,,弱点保险	气势头带	猛攻哑铃,1,100.0%,1
,,力量头带	治愈王冠	连打围巾,0,0.0%,1
,,力量头带	弱点保险	猛攻哑铃,0,0.0%,1
,,力量头带	气势头带	治愈王冠,0,0.0%,1
19,象牙猪,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,46,1.8%,166,73.45%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,yw_tatsu,38,82.61%
,,゜°,38,66.67%
,,PKT・Sheyk0z,10,90.91%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冰冻牙	地震		逃脱按键,100,74.63%,34
,,冰柱坠击	地震		伤药	,22,68.75%,1
,,冰冻牙	地震		伤药	,20,68.97%,2
,,冰冻牙	十万马力	逃脱按键,10,90.91%,2
,,冰冻牙	地震		速度强化,6,75.0%,2
,,冰柱坠击	十万马力	逃脱按键,3,75.0%,4
,,冰冻牙	十万马力	速度强化,1,100.0%,1
,,冰柱坠击	十万马力	伤药	,1,100.0%,1
,,冰冻牙	十万马力	伤药	,1,50.0%,2
,,冰柱坠击	地震		逃脱按键,1,50.0%,1
,,冰柱坠击	地震		速度强化,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	学习装置	气势头带,79,79.0%,19
,,学习装置	救援屏障	气势头带,18,75.0%,6
,,力量头带	学习装置	气势头带,4,80.0%,3
,,亿奥斯饼干	学习装置	气势头带,41,68.33%,2
,,学习装置	气势头带	猛攻哑铃,2,100.0%,2
,,亿奥斯饼干	气势头带	猛攻哑铃,2,100.0%,2
,,力量头带	气势头带	猛攻哑铃,2,66.67%,2
,,共鸣护盾	力量头带	学习装置,5,83.33%,1
,,亿奥斯饼干	救援屏障	气势头带,5,62.5%,1
,,共鸣护盾	气势头带	猛攻哑铃,4,100.0%,1
,,气势头带	猛攻哑铃	锐利之爪,2,100.0%,1
,,亿奥斯饼干	弱点保险	猛攻哑铃,1,100.0%,1
,,学习装置	气势头带	轻石,1,100.0%,1
,,学习装置	弱点保险	气势头带,0,0.0%,1
,,共鸣护盾	救援屏障	气势头带,0,0.0%,1
,,弱点保险	救援屏障	猛攻哑铃,0,0.0%,1
,,共鸣护盾	弱点保险	气势头带,0,0.0%,1
20,凤王,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,70,1.76%,164,73.87%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Raru_JP,23,85.19%
,,XesoL-,15,78.95%
,,セラータ,11,84.62%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰旋涡	喷射火焰	速度强化,94,75.81%,42
,,火焰旋涡	神鸟猛击	速度强化,44,80.0%,20
,,火焰旋涡	神鸟猛击	逃脱按键,7,53.85%,1
,,火焰旋涡	神鸟猛击	伤药	,5,62.5%,6
,,飞翔		喷射火焰	速度强化,4,100.0%,4
,,火焰旋涡	喷射火焰	万灵药,4,57.14%,2
,,火焰旋涡	喷射火焰	逃脱按键,3,60.0%,3
,,火焰旋涡	喷射火焰	伤药	,2,66.67%,3
,,火焰旋涡	喷射火焰	得分区控制器,1,100.0%,1
,,火焰旋涡	神鸟猛击	向尾喵的尾巴,0,0.0%,1
,,飞翔		神鸟猛击	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,咒术手镯	气势头带	猛攻哑铃,40,80.0%,17
,,咒术手镯	学习装置	气势头带,33,84.62%,16
,,共鸣护盾	学习装置	气势头带,6,60.0%,8
,,亿奥斯饼干	弱点保险	猛攻哑铃,6,66.67%,4
,,弱点保险	气势头带	猛攻哑铃,3,75.0%,4
,,共鸣护盾	咒术手镯	学习装置,24,77.42%,3
,,咒术手镯	弱点保险	猛攻哑铃,24,68.57%,3
,,亿奥斯饼干	气势头带	猛攻哑铃,3,50.0%,3
,,亿奥斯饼干	共鸣护盾	学习装置,5,83.33%,2
,,亿奥斯饼干	学习装置	气势头带,4,57.14%,2
,,共鸣护盾	咒术手镯	猛攻哑铃,3,60.0%,2
,,亿奥斯饼干	共鸣护盾	猛攻哑铃,0,0.0%,2
,,亿奥斯饼干	学习装置	猛攻哑铃,9,69.23%,1
,,学习装置	气势头带	猛攻哑铃,3,100.0%,1
,,亿奥斯饼干	共鸣护盾	气势头带,1,100.0%,1
,,共鸣护盾	猛攻哑铃	轻石,0,0.0%,1
21,幸福蛋,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,50,1.76%,158,71.49%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,SÖLツ,17,77.27%
,,Liebertさ,16,84.21%
,,QG·Aráshi,14,87.5%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,炸蛋		生蛋		速度强化,126,73.26%,40
,,炸蛋		生蛋		万灵药,10,62.5%,2
,,炸蛋		生蛋		伤药	,8,61.54%,1
,,炸蛋		生蛋		逃脱按键,6,100.0%,4
,,帮助		神秘守护	速度强化,5,71.43%,2
,,帮助		神秘守护	万灵药,1,100.0%,1
,,帮助		神秘守护	逃脱按键,1,50.0%,2
,,帮助		生蛋		速度强化,1,50.0%,2
,,炸蛋		神秘守护	速度强化,0,0.0%,1
,,炸蛋		神秘守护	得分区控制器,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	救援屏障	进击眼镜,74,75.51%,27
,,学习装置	救援屏障	气势头带,54,68.35%,12
,,学习装置	气势头带	进击眼镜,3,60.0%,3
,,学习装置	救援屏障	能量增幅器,13,68.42%,2
,,博识眼镜	学习装置	救援屏障,6,50.0%,2
,,博识眼镜	学习装置	进击眼镜,5,100.0%,1
,,吃剩的东西	学习装置	援助头巾,1,100.0%,1
,,力量头带	气势头带	进击眼镜,1,100.0%,1
,,共鸣护盾	学习装置	进击眼镜,1,100.0%,1
22,花疗环环,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,39,1.7%,155,72.43%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,とらぽんずっ,32,74.42%
,,uy*,30,76.92%
,,SÖLツ,15,60.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,花疗		打草结	迟缓烟雾,133,72.68%,30
,,花疗		魔法叶	迟缓烟雾,12,60.0%,12
,,天使之吻	打草结	迟缓烟雾,4,100.0%,3
,,花疗		打草结	速度强化,2,100.0%,2
,,花疗		打草结	攻击强化,1,100.0%,1
,,花疗		打草结	逃脱按键,1,100.0%,1
,,花疗		魔法叶	攻击强化,1,100.0%,1
,,天使之吻	魔法叶	迟缓烟雾,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	援助头巾	救援屏障,101,70.63%,14
,,学习装置	救援屏障	进击眼镜,19,67.86%,7
,,博识眼镜	学习装置	救援屏障,11,78.57%,6
,,咒术熏香	学习装置	救援屏障,4,80.0%,4
,,咒术熏香	学习装置	援助头巾,13,86.67%,1
,,博识眼镜	学习装置	进击眼镜,1,100.0%,1
,,咒术熏香	学习装置	讲究眼镜,1,100.0%,1
,,共鸣护盾	学习装置	救援屏障,1,100.0%,1
,,博识眼镜	学习装置	援助头巾,1,100.0%,1
,,博识眼镜	学习装置	贝壳之铃,1,50.0%,1
,,博识眼镜	咒术熏香	学习装置,0,0.0%,1
23,怪力,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,61,1.69%,137,64.32%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,_PoKe×Ninja,17,60.71%
,,387C78L,17,58.62%
,,勝利の可能性,12,85.71%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,近身战	爆裂拳	逃脱按键,55,64.71%,24
,,十字劈	深渊翻滚	逃脱按键,49,71.01%,27
,,近身战	深渊翻滚	逃脱按键,22,51.16%,18
,,十字劈	爆裂拳	逃脱按键,7,70.0%,4
,,近身战	爆裂拳	攻击强化,2,66.67%,3
,,近身战	深渊翻滚	攻击强化,2,66.67%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	猛攻哑铃	锐利之爪,34,64.15%,16
,,猛攻哑铃	轻石	锐利之爪,8,57.14%,9
,,弱点保险	猛攻哑铃	锐利之爪,16,55.17%,7
,,焦点镜	猛攻哑铃	锐利之爪,8,88.89%,6
,,学习装置	猛攻哑铃	轻石,15,88.24%,2
,,猛攻哑铃	能量增幅器	锐利之爪,2,66.67%,2
,,力量头带	弱点保险	猛攻哑铃,2,66.67%,2
,,气势头带	猛攻哑铃	锐利之爪,1,50.0%,2
,,共鸣护盾	猛攻哑铃	轻石,17,60.71%,1
,,学习装置	猛攻哑铃	锐利之爪,3,100.0%,1
,,气势头带	猛攻哑铃	轻石,3,50.0%,1
,,充能坠饰	学习装置	锐利之爪,2,100.0%,1
,,力量头带	气势头带	猛攻哑铃,2,100.0%,1
,,力量头带	猛攻哑铃	轻石,2,100.0%,1
,,焦点镜	猛攻哑铃	能量增幅器,2,100.0%,1
,,猛攻哑铃	能量增幅器	轻石,1,100.0%,1
,,弱点保险	气势头带	猛攻哑铃,1,50.0%,1
,,充能坠饰	学习装置	轻石,1,50.0%,1
,,学习装置	弱点保险	轻石,0,0.0%,1
,,充能坠饰	力量头带	猛攻哑铃,0,0.0%,1
,,共鸣护盾	猛攻哑铃	锐利之爪,0,0.0%,1
,,学习装置	能量增幅器	轻石,0,0.0%,1
24,朽木妖,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,70,1.68%,146,69.19%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,勝利の可能性,17,73.91%
,,Яей/bracky愛,16,84.21%
,,TTVJеyJey,13,81.25%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,木槌		木角		逃脱按键,98,71.53%,39
,,木槌		木角		伤药	,14,82.35%,8
,,咒术		木角		逃脱按键,12,70.59%,12
,,咒术		木角		速度强化,7,70.0%,5
,,咒术		木角		伤药	,7,58.33%,6
,,木槌		木角		速度强化,6,42.86%,9
,,木槌		分担痛楚	逃脱按键,1,100.0%,1
,,咒术		分担痛楚	速度强化,1,100.0%,1
,,咒术		分担痛楚	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	学习装置	气势头带,51,73.91%,24
,,亿奥斯饼干	学习装置	气势头带,10,47.62%,11
,,学习装置	气势头带	轻石,44,77.19%,10
,,亿奥斯饼干	气势头带	猛攻哑铃,9,52.94%,7
,,学习装置	气势头带	猛攻哑铃,3,75.0%,3
,,弱点保险	气势头带	猛攻哑铃,5,83.33%,2
,,亿奥斯饼干	共鸣护盾	猛攻哑铃,4,80.0%,2
,,学习装置	救援屏障	气势头带,2,100.0%,2
,,亿奥斯饼干	弱点保险	猛攻哑铃,0,0.0%,2
,,咒术手镯	学习装置	气势头带,13,81.25%,1
,,学习装置	气势头带	突击背心,2,66.67%,1
,,共鸣护盾	学习装置	救援屏障,1,100.0%,1
,,咒术手镯	气势头带	猛攻哑铃,1,100.0%,1
,,共鸣护盾	咒术手镯	气势头带,1,25.0%,1
,,学习装置	弱点保险	气势头带,0,0.0%,1
,,亿奥斯饼干	共鸣护盾	学习装置,0,0.0%,1
25,耿鬼,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,35,1.44%,134,74.03%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Tarako35,34,69.39%
,,All・Rounder,25,83.33%
,,rambhaya,14,73.68%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,污泥炸弹	祸不单行	攻击强化,34,69.39%,1
,,暗影球	食梦		逃脱按键,33,75.0%,18
,,污泥炸弹	祸不单行	万灵药,32,72.73%,11
,,污泥炸弹	祸不单行	逃脱按键,27,87.1%,3
,,暗影球	食梦		攻击强化,3,100.0%,1
,,暗影球	食梦		万灵药,3,42.86%,3
,,暗影球	食梦		速度强化,2,100.0%,1
,,暗影球	食梦		伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,穿透汤匙	讲究眼镜	进击眼镜,11,73.33%,11
,,博识眼镜	穿透汤匙	讲究眼镜,11,91.67%,6
,,博识眼镜	讲究眼镜	进击眼镜,29,70.73%,5
,,博识眼镜	穿透汤匙	进击眼镜,16,66.67%,5
,,穿透汤匙	讲究眼镜	贝壳之铃,4,80.0%,3
,,博识眼镜	贝壳之铃	进击眼镜,28,84.85%,2
,,博识眼镜	讲究眼镜	贝壳之铃,34,69.39%,1
,,穿透汤匙	贝壳之铃	进击眼镜,1,100.0%,1
,,学习装置	援助头巾	救援屏障,0,0.0%,1
26,水箭龟,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,64,1.41%,130,73.45%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,埼玉撲滅マン,19,82.61%
,,yw_tatsu,9,69.23%
,,All・Rounder,8,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,水炮		冲浪		逃脱按键,70,74.47%,39
,,水炮		高速旋转	逃脱按键,40,71.43%,20
,,喷水		高速旋转	逃脱按键,16,72.73%,15
,,喷水		冲浪		伤药	,2,100.0%,1
,,喷水		高速旋转	攻击强化,1,100.0%,1
,,喷水		高速旋转	向尾喵的尾巴,1,100.0%,1
,,喷水		冲浪		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	气势头带	连打围巾,14,60.87%,13
,,学习装置	气势头带	穿透汤匙,28,80.0%,8
,,共鸣护盾	学习装置	气势头带,13,76.47%,7
,,气势头带	穿透汤匙	进击眼镜,7,77.78%,7
,,咒术熏香	学习装置	气势头带,28,77.78%,6
,,共鸣护盾	气势头带	穿透汤匙,4,80.0%,3
,,咒术熏香	穿透汤匙	进击眼镜,7,87.5%,2
,,力量头带	气势头带	穿透汤匙,2,50.0%,2
,,力量头带	进击眼镜	连打围巾,8,66.67%,1
,,共鸣护盾	力量头带	救援屏障,4,50.0%,1
,,学习装置	救援屏障	气势头带,3,100.0%,1
,,共鸣护盾	穿透汤匙	进击眼镜,3,75.0%,1
,,力量头带	学习装置	气势头带,1,100.0%,1
,,穿透汤匙	讲究眼镜	进击眼镜,1,100.0%,1
,,亿奥斯饼干	学习装置	气势头带,1,100.0%,1
,,救援屏障	穿透汤匙	贝壳之铃,1,100.0%,1
,,气势头带	讲究眼镜	连打围巾,1,100.0%,1
,,学习装置	穿透汤匙	进击眼镜,1,100.0%,1
,,亿奥斯饼干	穿透汤匙	进击眼镜,1,100.0%,1
,,力量头带	穿透汤匙	连打围巾,1,100.0%,1
,,咒术熏香	气势头带	进击眼镜,1,50.0%,1
,,穿透汤匙	能量增幅器	进击眼镜,0,0.0%,1
,,力量头带	气势头带	能量增幅器,0,0.0%,1
,,咒术熏香	气势头带	穿透汤匙,0,0.0%,1
27,胖可丁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,33,1.35%,122,71.76%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,yun??*.,32,84.21%
,,1DqnteTTV,18,81.82%
,,Raru_JP,12,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,连环巴掌	唱歌		速度强化,55,69.62%,17
,,连环巴掌	唱歌		逃脱按键,24,75.0%,8
,,魔法闪耀	唱歌		速度强化,23,74.19%,11
,,连环巴掌	唱歌		伤药	,8,66.67%,2
,,魔法闪耀	唱歌		逃脱按键,7,100.0%,3
,,魔法闪耀	唱歌		脱壳忍者玩偶,2,66.67%,1
,,魔法闪耀	唱歌		迟缓烟雾,2,50.0%,1
,,连环巴掌	滚动		速度强化,1,100.0%,1
,,魔法闪耀	滚动		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	救援屏障	气势头带,56,76.71%,14
,,共鸣护盾	学习装置	气势头带,35,79.55%,5
,,共鸣护盾	学习装置	救援屏障,15,53.57%,4
,,学习装置	气势头带	轻石,4,80.0%,3
,,亿奥斯饼干	共鸣护盾	学习装置,5,55.56%,1
,,共鸣护盾	吃剩的东西	学习装置,4,100.0%,1
,,学习装置	气势头带	穿透汤匙,2,66.67%,1
,,共鸣护盾	学习装置	援助头巾,1,100.0%,1
,,亿奥斯饼干	学习装置	气势头带,0,0.0%,1
,,亿奥斯饼干	学习装置	救援屏障,0,0.0%,1
