,一共游戏场数,10436
1,阿勃梭鲁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,三旋击	热带踢	万灵药,67,67.68%,39
,,踩踏		热带踢	万灵药,17,70.83%,16
,,踩踏		青草滑梯	万灵药,16,64.0%,12
,,三旋击	青草滑梯	万灵药,14,63.64%,15
,,踩踏		热带踢	攻击强化,9,75.0%,5
,,三旋击	热带踢	伤药	,6,66.67%,2
,,三旋击	热带踢	攻击强化,3,37.5%,5
,,三旋击	青草滑梯	攻击强化,2,100.0%,2
,,踩踏		青草滑梯	攻击强化,1,50.0%,2
,,三旋击	青草滑梯	速度强化,1,33.33%,1
,,踩踏		热带踢	伤药	,0,0.0%,1
,,三旋击	青草滑梯	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,104,69.33%,47
,,力量头带	弱点保险	猛攻哑铃,14,66.67%,7
,,亿奥斯饼干	弱点保险	猛攻哑铃,7,53.85%,4
,,力量头带	气势头带	猛攻哑铃,6,54.55%,4
,,咒术手镯	弱点保险	猛攻哑铃,2,25.0%,1
,,弱点保险	猛攻哑铃	锐利之爪,1,100.0%,1
,,力量头带	弱点保险	气势头带,1,100.0%,1
,,弱点保险	猛攻哑铃	连打围巾,1,100.0%,1
,,亿奥斯饼干	气势头带	猛攻哑铃,0,0.0%,1
,,弱点保险	猛攻哑铃	轻石,0,0.0%,1
14,火焰鸡,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,62,1.98%,149,71.98%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,LG・Overlord,13,76.47%
,,KNULL.,13,72.22%
,,Sun*Flower,10,83.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰拳	真气弹	逃脱按键,85,79.44%,45
,,过热		火焰踢	逃脱按键,64,64.0%,47
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	锐利之爪,122,72.62%,50
,,弱点保险	气势头带	猛攻哑铃,6,60.0%,4
,,气势头带	猛攻哑铃	锐利之爪,14,73.68%,2
,,力量头带	弱点保险	猛攻哑铃,4,80.0%,2
,,弱点保险	猛攻哑铃	能量增幅器,2,100.0%,1
,,亿奥斯饼干	弱点保险	猛攻哑铃,1,100.0%,1
,,力量头带	猛攻哑铃	锐利之爪,0,0.0%,1
,,亿奥斯饼干	力量头带	猛攻哑铃,0,0.0%,1
15,胖可丁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,27,1.96%,168,81.95%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,一Yumiko,36,81.82%
,,闇ノ漂流,35,87.5%
,,STよう,26,81.25%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,魔法闪耀	唱歌		速度强化,37,84.09%,8
,,魔法闪耀	滚动		得分加速装置,35,87.5%,1
,,连环巴掌	滚动		逃脱按键,29,82.86%,3
,,连环巴掌	唱歌		伤药	,20,71.43%,2
,,连环巴掌	唱歌		速度强化,19,86.36%,8
,,连环巴掌	唱歌		逃脱按键,19,76.0%,5
,,连环巴掌	滚动		得分加速装置,3,75.0%,2
,,魔法闪耀	滚动		逃脱按键,2,100.0%,2
,,魔法闪耀	滚动		速度强化,1,100.0%,1
,,魔法闪耀	唱歌		逃脱按键,1,100.0%,1
,,魔法闪耀	唱歌		伤药	,1,100.0%,1
,,连环巴掌	滚动		速度强化,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	救援屏障	气势头带,117,81.82%,14
,,共鸣护盾	学习装置	救援屏障,8,100.0%,5
,,共鸣护盾	学习装置	气势头带,27,77.14%,3
,,吃剩的东西	学习装置	气势头带,14,87.5%,2
,,亿奥斯饼干	学习装置	气势头带,1,100.0%,1
,,共鸣护盾	气势头带	讲究眼镜,1,100.0%,1
,,学习装置	救援屏障	轻石,0,0.0%,1
15,怪力,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,60,1.96%,157,76.59%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,亞樹,13,86.67%
,,幻戲蕗罵堊,12,75.0%
,,MyGo_矢吹丈,11,84.62%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,十字劈	深渊翻滚	逃脱按键,69,75.0%,36
,,近身战	爆裂拳	逃脱按键,53,74.65%,22
,,十字劈	爆裂拳	逃脱按键,16,88.89%,12
,,十字劈	深渊翻滚	速度强化,11,84.62%,3
,,近身战	深渊翻滚	逃脱按键,5,71.43%,6
,,十字劈	深渊翻滚	攻击强化,2,66.67%,1
,,近身战	爆裂拳	攻击强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	猛攻哑铃	锐利之爪,30,76.92%,14
,,力量头带	猛攻哑铃	能量增幅器,40,76.92%,10
,,猛攻哑铃	能量增幅器	锐利之爪,23,71.88%,8
,,弱点保险	猛攻哑铃	锐利之爪,26,76.47%,6
,,猛攻哑铃	轻石	锐利之爪,6,75.0%,3
,,焦点镜	猛攻哑铃	锐利之爪,2,50.0%,3
,,焦点镜	猛攻哑铃	能量增幅器,3,75.0%,2
,,力量头带	弱点保险	猛攻哑铃,3,50.0%,2
,,力量头带	气势头带	猛攻哑铃,0,0.0%,2
,,力量头带	猛攻哑铃	轻石,10,100.0%,1
,,学习装置	猛攻哑铃	能量增幅器,3,100.0%,1
,,力量头带	焦点镜	猛攻哑铃,3,100.0%,1
,,凸凸头盔	吃剩的东西	贝壳之铃,2,100.0%,1
,,学习装置	猛攻哑铃	锐利之爪,1,100.0%,1
,,弱点保险	气势头带	猛攻哑铃,1,100.0%,1
,,气势头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,学习装置	气势头带	猛攻哑铃,1,100.0%,1
,,得分护盾	猛攻哑铃	轻石,1,100.0%,1
,,充能坠饰	猛攻哑铃	锐利之爪,1,100.0%,1
17,皮可西,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,39,1.85%,161,83.42%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,QG·Aráshi,34,82.93%
,,ャYaSh愛,30,85.71%
,,一Yumiko,15,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,月光		重力		速度强化,74,81.32%,19
,,月光		看我嘛	速度强化,55,84.62%,26
,,月光		重力		万灵药,21,87.5%,1
,,月光		重力		逃脱按键,4,100.0%,1
,,月光		看我嘛	万灵药,4,100.0%,2
,,月光		看我嘛	逃脱按键,2,50.0%,4
,,月光		重力		伤药	,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	救援屏障	进击眼镜,43,86.0%,15
,,学习装置	援助头巾	进击眼镜,9,64.29%,9
,,博识眼镜	学习装置	进击眼镜,42,85.71%,6
,,学习装置	援助头巾	救援屏障,20,80.0%,3
,,博识眼镜	学习装置	救援屏障,33,84.62%,2
,,学习装置	救援屏障	气势头带,13,92.86%,2
,,博识眼镜	援助头巾	救援屏障,1,100.0%,1
,,博识眼镜	能量增幅器	进击眼镜,0,0.0%,1
18,索罗亚克,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,69,1.83%,134,70.16%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,KAiシ,9,90.0%
,,OG舎Operator,8,88.89%
,,GS・Long,7,77.78%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗袭要害	居合劈	万灵药,122,69.32%,65
,,暗袭要害	暗影爪	万灵药,4,100.0%,2
,,出奇一击	居合劈	万灵药,3,100.0%,3
,,暗袭要害	居合劈	逃脱按键,2,66.67%,1
,,出奇一击	暗影爪	万灵药,2,66.67%,3
,,暗袭要害	居合劈	得分加速装置,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,119,69.59%,59
,,力量头带	连打围巾	锐利之爪,6,85.71%,4
,,弱点保险	猛攻哑铃	能量增幅器,2,100.0%,1
,,亿奥斯饼干	救援屏障	气势头带,2,100.0%,1
,,气势头带	猛攻哑铃	能量增幅器,2,66.67%,1
,,亿奥斯饼干	气势头带	猛攻哑铃,2,66.67%,1
,,力量头带	猛攻哑铃	连打围巾,1,100.0%,1
,,力量头带	弱点保险	气势头带,0,0.0%,1
19,苍炎刃鬼,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,63,1.78%,134,72.04%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,</>メe§p1Y@,17,68.0%
,,たくま,13,92.86%
,,CLANDESTINE.,11,61.11%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神利刃	蓄能焰袭	攻击强化,42,68.85%,12
,,精神利刃	潜灵奇袭	逃脱按键,30,65.22%,23
,,精神利刃	潜灵奇袭	攻击强化,25,78.12%,19
,,悔念剑	潜灵奇袭	逃脱按键,17,73.91%,5
,,精神利刃	潜灵奇袭	万灵药,9,75.0%,8
,,精神利刃	蓄能焰袭	万灵药,5,83.33%,3
,,精神利刃	蓄能焰袭	逃脱按键,4,100.0%,4
,,悔念剑	潜灵奇袭	攻击强化,2,100.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	猛攻哑铃	锐利之爪,71,72.45%,31
,,力量头带	焦点镜	锐利之爪,6,85.71%,5
,,力量头带	猛攻哑铃	能量增幅器,6,66.67%,5
,,力量头带	焦点镜	猛攻哑铃,4,66.67%,4
,,力量头带	能量增幅器	锐利之爪,20,90.91%,3
,,力量头带	咒术手镯	锐利之爪,11,57.89%,3
,,猛攻哑铃	能量增幅器	锐利之爪,5,50.0%,3
,,弱点保险	猛攻哑铃	锐利之爪,1,33.33%,2
,,猛攻哑铃	连打围巾	锐利之爪,4,100.0%,1
,,力量头带	气势头带	猛攻哑铃,2,100.0%,1
,,力量头带	弱点保险	猛攻哑铃,2,100.0%,1
,,咒术手镯	猛攻哑铃	锐利之爪,1,100.0%,1
,,力量头带	咒术手镯	能量增幅器,1,100.0%,1
,,弱点保险	焦点镜	猛攻哑铃,0,0.0%,1
,,力量头带	咒术手镯	猛攻哑铃,0,0.0%,1
20,胡帕,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,38,1.65%,121,70.35%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,STしらたま,21,72.41%
,,ひよこ豆X,12,75.0%
,,一Yumiko,12,57.14%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,潜灵奇袭	戏法		速度强化,41,68.33%,15
,,潜灵奇袭	异次元洞	速度强化,30,73.17%,13
,,潜灵奇袭	异次元洞	逃脱按键,17,58.62%,7
,,暗影球	戏法		速度强化,12,66.67%,5
,,潜灵奇袭	戏法		伤药	,10,100.0%,3
,,潜灵奇袭	异次元洞	万灵药,4,100.0%,3
,,潜灵奇袭	戏法		逃脱按键,3,75.0%,2
,,潜灵奇袭	异次元洞	脱壳忍者玩偶,2,66.67%,1
,,潜灵奇袭	戏法		攻击强化,1,100.0%,1
,,暗影球	戏法		伤药	,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	咒术熏香	学习装置,34,66.67%,9
,,力量头带	学习装置	气势头带,12,60.0%,5
,,力量头带	学习装置	轻石,17,80.95%,4
,,共鸣护盾	力量头带	学习装置,11,64.71%,4
,,咒术熏香	学习装置	气势头带,4,100.0%,3
,,力量头带	吃剩的东西	学习装置,3,100.0%,2
,,咒术熏香	学习装置	轻石,3,100.0%,2
,,吃剩的东西	学习装置	轻石,0,0.0%,2
,,咒术熏香	学习装置	进击眼镜,21,72.41%,1
,,共鸣护盾	咒术熏香	学习装置,8,88.89%,1
,,共鸣护盾	学习装置	气势头带,3,75.0%,1
,,吃剩的东西	学习装置	援助头巾,3,60.0%,1
,,亿奥斯饼干	力量头带	学习装置,1,100.0%,1
,,学习装置	援助头巾	气势头带,1,50.0%,1
,,力量头带	学习装置	能量增幅器,0,0.0%,1
21,闪焰王牌,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,44,1.62%,118,69.82%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Phōs,61,68.54%
,,はいふー,7,70.0%
,,ヤÇàìñツ,4,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰踢	佯攻		逃脱按键,48,71.64%,21
,,火焰踢	蓄能焰袭	逃脱按键,46,66.67%,10
,,火焰踢	佯攻		攻击强化,8,53.33%,9
,,火焰踢	蓄能焰袭	攻击强化,4,100.0%,3
,,火焰球	佯攻		逃脱按键,4,80.0%,4
,,火焰球	蓄能焰袭	逃脱按键,3,100.0%,3
,,火焰踢	佯攻		万灵药,2,100.0%,1
,,火焰球	蓄能焰袭	攻击强化,1,100.0%,1
,,火焰踢	蓄能焰袭	伤药	,1,100.0%,1
,,火焰踢	蓄能焰袭	万灵药,1,100.0%,1
,,火焰球	佯攻		攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	连打围巾,44,68.75%,36
,,力量头带	焦点镜	猛攻哑铃,63,69.23%,3
,,力量头带	弱点保险	连打围巾,7,70.0%,1
,,力量头带	猛攻哑铃	连打围巾,1,100.0%,1
,,亿奥斯饼干	力量头带	猛攻哑铃,1,100.0%,1
,,咒术手镯	连打围巾	锐利之爪,1,100.0%,1
,,力量头带	学习装置	轻石,1,100.0%,1
22,路卡利欧,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,58,1.61%,120,71.43%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Mendon'tCry,21,84.0%
,,Ãyanøkoji§,18,75.0%
,,E_Kimachi,5,83.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,神速		骨棒乱打	万灵药,66,70.21%,28
,,增强拳	近身战	逃脱按键,34,72.34%,26
,,增强拳	近身战	攻击强化,5,100.0%,4
,,增强拳	骨棒乱打	攻击强化,4,80.0%,1
,,增强拳	近身战	速度强化,3,100.0%,2
,,增强拳	骨棒乱打	逃脱按键,2,100.0%,2
,,神速		骨棒乱打	逃脱按键,2,50.0%,3
,,增强拳	近身战	向尾喵的尾巴,1,100.0%,1
,,神速		近身战	攻击强化,1,100.0%,1
,,神速		近身战	万灵药,1,50.0%,2
,,增强拳	近身战	万灵药,1,33.33%,3
,,增强拳	骨棒乱打	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	弱点保险	猛攻哑铃,33,66.0%,25
,,力量头带	猛攻哑铃	锐利之爪,53,77.94%,12
,,弱点保险	猛攻哑铃	锐利之爪,21,63.64%,12
,,充能坠饰	弱点保险	猛攻哑铃,5,83.33%,2
,,学习装置	弱点保险	猛攻哑铃,2,100.0%,1
,,弱点保险	猛攻哑铃	能量增幅器,2,100.0%,1
,,力量头带	气势头带	猛攻哑铃,2,100.0%,1
,,猛攻哑铃	轻石	锐利之爪,1,100.0%,1
,,弱点保险	气势头带	猛攻哑铃,1,50.0%,1
,,猛攻哑铃	能量增幅器	轻石,0,0.0%,1
,,弱点保险	猛攻哑铃	轻石,0,0.0%,1
23,太阳伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,53,1.5%,115,73.25%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,AE_77chin,16,94.12%
,,EvElon,15,93.75%
,,CLANDESTINE.,9,81.82%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神冲击	幻象光线	逃脱按键,52,69.33%,31
,,辅助力量	幻象光线	逃脱按键,28,82.35%,13
,,辅助力量	预知未来	逃脱按键,21,77.78%,9
,,辅助力量	预知未来	速度强化,8,88.89%,3
,,精神冲击	预知未来	逃脱按键,6,54.55%,9
,,辅助力量	幻象光线	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,72,71.29%,31
,,咒术熏香	穿透汤匙	讲究眼镜,13,86.67%,6
,,博识眼镜	咒术熏香	穿透汤匙,3,42.86%,5
,,穿透汤匙	讲究眼镜	贝壳之铃,2,50.0%,3
,,博识眼镜	咒术熏香	讲究眼镜,1,50.0%,2
,,博识眼镜	咒术熏香	学习装置,16,94.12%,1
,,学习装置	穿透汤匙	讲究眼镜,5,83.33%,1
,,穿透汤匙	讲究眼镜	进击眼镜,1,100.0%,1
,,博识眼镜	讲究眼镜	贝壳之铃,1,100.0%,1
,,咒术熏香	穿透汤匙	贝壳之铃,1,50.0%,1
,,博识眼镜	讲究眼镜	进击眼镜,0,0.0%,1
24,可达鸭,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,48,1.49%,113,72.9%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ʚ美少女戦士ɞ,26,92.86%
,,초뇌룡,24,66.67%
,,펭큐보_,5,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		精神强念	伤药	,61,69.32%,25
,,冲浪		精神强念	速度强化,28,84.85%,15
,,泡沫光线	精神强念	速度强化,19,90.48%,2
,,冲浪		精神强念	逃脱按键,3,42.86%,5
,,冲浪		定身法	速度强化,1,100.0%,1
,,冲浪		定身法	伤药	,1,33.33%,3
,,泡沫光线	精神强念	伤药	,0,0.0%,1
,,冲浪		定身法	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	救援屏障	气势头带,45,77.59%,19
,,咒术熏香	学习装置	气势头带,35,67.31%,10
,,共鸣护盾	学习装置	气势头带,9,81.82%,4
,,共鸣护盾	学习装置	救援屏障,2,66.67%,3
,,学习装置	气势头带	穿透汤匙,5,71.43%,2
,,救援屏障	气势头带	进击眼镜,5,83.33%,1
,,咒术熏香	气势头带	贝壳之铃,5,62.5%,1
,,学习装置	救援屏障	穿透汤匙,2,100.0%,1
,,吃剩的东西	学习装置	气势头带,2,100.0%,1
,,共鸣护盾	博识眼镜	学习装置,1,100.0%,1
,,博识眼镜	学习装置	穿透汤匙,1,100.0%,1
,,学习装置	气势头带	讲究眼镜,1,100.0%,1
,,共鸣护盾	救援屏障	穿透汤匙,0,0.0%,1
,,共鸣护盾	咒术熏香	学习装置,0,0.0%,1
,,吃剩的东西	咒术熏香	学习装置,0,0.0%,1
24,叶伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,54,1.49%,122,78.71%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,N'shiro_,20,95.24%
,,ChütPaglu-,17,85.0%
,,SAHILGODyt,8,61.54%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,飞叶快刀	燕返		攻击强化,91,78.45%,36
,,飞叶快刀	燕返		逃脱按键,11,84.62%,5
,,飞叶快刀	燕返		万灵药,10,76.92%,6
,,日光刃	叶刃		逃脱按键,3,75.0%,2
,,日光刃	叶刃		攻击强化,2,100.0%,1
,,飞叶快刀	叶刃		攻击强化,1,100.0%,1
,,飞叶快刀	燕返		得分加速装置,1,100.0%,1
,,日光刃	叶刃		速度强化,1,100.0%,1
,,日光刃	燕返		攻击强化,1,100.0%,1
,,飞叶快刀	燕返		速度强化,1,33.33%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	能量增幅器	锐利之爪,111,81.02%,41
,,充能坠饰	猛攻哑铃	能量增幅器,3,75.0%,3
,,猛攻哑铃	轻石	锐利之爪,2,100.0%,2
,,充能坠饰	猛攻哑铃	锐利之爪,1,50.0%,2
,,猛攻哑铃	能量增幅器	轻石,2,100.0%,1
,,救援屏障	猛攻哑铃	能量增幅器,2,50.0%,1
,,充能坠饰	得分护盾	轻石,1,100.0%,1
,,弱点保险	猛攻哑铃	锐利之爪,0,0.0%,1
,,咒术手镯	轻石	锐利之爪,0,0.0%,1
,,充能坠饰	猛攻哑铃	轻石,0,0.0%,1
26,朽木妖,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,47,1.44%,103,68.67%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,LBツZeNiN,23,74.19%
,,OG舎Operator,17,65.38%
,,Protocol~,7,87.5%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,木槌		木角		逃脱按键,70,73.68%,35
,,木槌		木角		伤药	,25,71.43%,2
,,咒术		木角		伤药	,4,66.67%,3
,,咒术		木角		速度强化,3,60.0%,4
,,咒术		分担痛楚	伤药	,1,33.33%,3
,,木槌		木角		速度强化,0,0.0%,3
,,咒术		分担痛楚	逃脱按键,0,0.0%,1
,,咒术		分担痛楚	万灵药,0,0.0%,1
,,咒术		木角		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	学习装置	气势头带,69,70.41%,17
,,亿奥斯饼干	气势头带	猛攻哑铃,7,100.0%,6
,,亿奥斯饼干	学习装置	气势头带,5,62.5%,6
,,学习装置	气势头带	突击背心,6,75.0%,4
,,学习装置	弱点保险	气势头带,8,80.0%,3
,,学习装置	气势头带	轻石,2,28.57%,3
,,弱点保险	气势头带	猛攻哑铃,3,75.0%,2
,,亿奥斯饼干	共鸣护盾	猛攻哑铃,1,100.0%,1
,,吃剩的东西	学习装置	气势头带,1,50.0%,1
,,亿奥斯饼干	弱点保险	猛攻哑铃,1,50.0%,1
,,凸凸头盔	咒术手镯	气势头带,0,0.0%,1
,,共鸣护盾	气势头带	猛攻哑铃,0,0.0%,1
,,学习装置	气势头带	猛攻哑铃,0,0.0%,1
27,超梦Y,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,51,1.19%,83,66.94%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,CarnageHammy,14,100.0%
,,Kamenero!,11,78.57%
,,SAHILGODyt,7,87.5%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神击破	瞬间移动	攻击强化,69,66.99%,44
,,精神击破	瞬间移动	逃脱按键,8,88.89%,2
,,预知未来	瞬间移动	攻击强化,3,75.0%,2
,,精神击破	自我再生	攻击强化,2,40.0%,5
,,预知未来	自我再生	速度强化,1,100.0%,1
,,预知未来	自我再生	攻击强化,0,0.0%,1
,,精神击破	瞬间移动	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,30,81.08%,14
,,力量头带	穿透汤匙	连打围巾,28,66.67%,12
,,博识眼镜	穿透汤匙	连打围巾,4,50.0%,4
,,穿透汤匙	讲究眼镜	连打围巾,3,60.0%,4
,,力量头带	讲究眼镜	连打围巾,5,62.5%,3
,,力量头带	穿透汤匙	讲究眼镜,3,50.0%,2
,,力量头带	博识眼镜	穿透汤匙,0,0.0%,2
,,力量头带	学习装置	连打围巾,5,100.0%,1
,,学习装置	讲究眼镜	连打围巾,1,100.0%,1
,,力量头带	学习装置	讲究眼镜,1,100.0%,1
,,博识眼镜	咒术熏香	讲究眼镜,1,100.0%,1
,,咒术熏香	进击眼镜	连打围巾,1,50.0%,1
,,穿透汤匙	能量增幅器	连打围巾,1,50.0%,1
,,穿透汤匙	进击眼镜	连打围巾,0,0.0%,1
,,力量头带	咒术熏香	讲究眼镜,0,0.0%,1
,,博识眼镜	学习装置	讲究眼镜,0,0.0%,1
,,博识眼镜	咒术熏香	连打围巾,0,0.0%,1
28,爆肌蚊,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,50,1.16%,79,65.29%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ʜappy,6,85.71%
,,PPRN,6,75.0%
,,Ult100%,5,62.5%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,击落		蛮力		逃脱按键,72,65.45%,46
,,击落		汲取		逃脱按键,3,50.0%,4
,,猛扑		蛮力		逃脱按键,1,100.0%,1
,,击落		汲取		速度强化,1,100.0%,1
,,猛扑		汲取		逃脱按键,1,100.0%,1
,,击落		蛮力		攻击强化,1,100.0%,1
,,击落		蛮力		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	气势头带	猛攻哑铃,19,63.33%,16
,,弱点保险	气势头带	猛攻哑铃,22,66.67%,12
,,力量头带	弱点保险	猛攻哑铃,10,71.43%,7
,,力量头带	猛攻哑铃	连打围巾,3,60.0%,4
,,亿奥斯饼干	力量头带	猛攻哑铃,6,85.71%,1
,,咒术手镯	气势头带	连打围巾,6,75.0%,1
,,共鸣护盾	弱点保险	猛攻哑铃,5,62.5%,1
,,弱点保险	气势头带	连打围巾,3,50.0%,1
,,弱点保险	救援屏障	猛攻哑铃,2,100.0%,1
,,力量头带	学习装置	猛攻哑铃,1,100.0%,1
,,共鸣护盾	学习装置	气势头带,1,100.0%,1
,,弱点保险	猛攻哑铃	锐利之爪,1,50.0%,1
,,亿奥斯饼干	共鸣护盾	猛攻哑铃,0,0.0%,1
,,气势头带	猛攻哑铃	连打围巾,0,0.0%,1
,,共鸣护盾	猛攻哑铃	连打围巾,0,0.0%,1
28,水君,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,8,1.16%,102,84.3%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,れんこmewFox,31,93.94%
,,えむしーでー,19,90.48%
,,*Luna.,16,94.12%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,潮旋		冰冻光束	逃脱按键,65,94.2%,6
,,潮旋		冰冻光束	速度强化,18,66.67%,2
,,潮旋		冰冻光束	伤药	,10,76.92%,1
,,冲浪		冰冻之风	逃脱按键,5,71.43%,4
,,潮旋		冰冻之风	逃脱按键,1,100.0%,1
,,冲浪		冰冻光束	伤药	,1,100.0%,1
,,冲浪		冰冻光束	逃脱按键,1,100.0%,1
,,潮旋		冰冻光束	万灵药,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
