,一共游戏场数,11327
1,可达鸭,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,啄钻		飞踢		伤药	,45,86.54%,2
,,三重攻击	高速移动	万灵药,15,88.24%,8
,,啄钻		高速移动	万灵药,3,100.0%,2
,,三重攻击	飞踢		伤药	,2,100.0%,1
,,三重攻击	飞踢		得分区控制器,2,100.0%,1
,,三重攻击	飞踢		得分加速装置,1,100.0%,1
,,三重攻击	飞踢		速度强化,1,100.0%,1
,,啄钻		飞踢		逃脱按键,1,100.0%,1
,,啄钻		高速移动	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,充能坠饰	猛攻哑铃	锐利之爪,182,78.45%,61
,,充能坠饰	猛攻哑铃	轻石,15,68.18%,9
,,猛攻哑铃	轻石	锐利之爪,10,62.5%,6
,,亿奥斯饼干	充能坠饰	猛攻哑铃,50,87.72%,2
,,充能坠饰	猛攻哑铃	能量增幅器,3,100.0%,2
,,猛攻哑铃	能量增幅器	锐利之爪,3,75.0%,1
,,学习装置	猛攻哑铃	轻石,2,100.0%,1
,,亿奥斯饼干	猛攻哑铃	轻石,2,100.0%,1
,,学习装置	猛攻哑铃	能量增幅器,2,66.67%,1
,,猛攻哑铃	能量增幅器	轻石,1,100.0%,1
15,冰伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,57,2.63%,216,72.48%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,SR_艮,53,75.71%
,,超光沢のある,22,73.33%
,,ttvPaPiYanG,14,87.5%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冰锥		冰砾		逃脱按键,187,76.64%,42
,,冰锥		冰砾		速度强化,14,43.75%,9
,,冰冻之风	冷冻干燥	逃脱按键,10,76.92%,8
,,冰锥		冰砾		脱壳忍者玩偶,4,57.14%,2
,,冰冻之风	冰砾		逃脱按键,1,100.0%,1
,,冰锥		冰砾		攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	咒术熏香	穿透汤匙,62,77.5%,18
,,博识眼镜	穿透汤匙	讲究眼镜,33,73.33%,14
,,博识眼镜	穿透汤匙	贝壳之铃,25,73.53%,5
,,博识眼镜	穿透汤匙	能量增幅器,53,73.61%,3
,,力量头带	博识眼镜	穿透汤匙,4,57.14%,3
,,穿透汤匙	能量增幅器	贝壳之铃,2,100.0%,2
,,咒术熏香	穿透汤匙	能量增幅器,1,50.0%,2
,,博识眼镜	咒术熏香	讲究眼镜,14,87.5%,1
,,穿透汤匙	讲究眼镜	连打围巾,14,66.67%,1
,,力量头带	穿透汤匙	贝壳之铃,3,100.0%,1
,,力量头带	博识眼镜	讲究眼镜,3,33.33%,1
,,力量头带	咒术熏香	穿透汤匙,1,100.0%,1
,,博识眼镜	气势头带	穿透汤匙,0,0.0%,1
,,博识眼镜	讲究眼镜	贝壳之铃,0,0.0%,1
,,博识眼镜	焦点镜	讲究眼镜,0,0.0%,1
,,博识眼镜	气势头带	讲究眼镜,0,0.0%,1
15,苍炎刃鬼,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,59,2.63%,229,76.85%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,XV893,38,79.17%
,,1v1・Antique,36,85.71%
,,ZM·Àurora,21,91.3%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神利刃	蓄能焰袭	攻击强化,128,83.66%,17
,,精神利刃	潜灵奇袭	逃脱按键,34,72.34%,14
,,精神利刃	潜灵奇袭	攻击强化,27,61.36%,17
,,精神利刃	蓄能焰袭	万灵药,19,90.48%,5
,,精神利刃	蓄能焰袭	逃脱按键,8,57.14%,7
,,悔念剑	潜灵奇袭	逃脱按键,7,70.0%,4
,,精神利刃	潜灵奇袭	万灵药,4,80.0%,2
,,悔念剑	潜灵奇袭	攻击强化,2,66.67%,3
,,悔念剑	潜灵奇袭	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	猛攻哑铃	锐利之爪,128,76.19%,34
,,力量头带	焦点镜	猛攻哑铃,26,89.66%,7
,,力量头带	能量增幅器	锐利之爪,46,79.31%,5
,,力量头带	猛攻哑铃	能量增幅器,3,50.0%,3
,,猛攻哑铃	能量增幅器	锐利之爪,9,75.0%,2
,,力量头带	猛攻哑铃	连打围巾,2,66.67%,2
,,力量头带	焦点镜	锐利之爪,9,69.23%,1
,,弱点保险	猛攻哑铃	轻石,3,60.0%,1
,,弱点保险	焦点镜	猛攻哑铃,1,100.0%,1
,,力量头带	气势头带	猛攻哑铃,1,100.0%,1
,,焦点镜	猛攻哑铃	锐利之爪,1,100.0%,1
,,气势头带	猛攻哑铃	能量增幅器,0,0.0%,1
17,烈咬陆鲨,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,75,2.37%,203,75.75%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,カミッチュ,20,71.43%
,,yu1lu,19,95.0%
,,俺は脇役Cry,19,86.36%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之俯冲	龙爪		逃脱按键,195,75.58%,72
,,龙之俯冲	龙爪		万灵药,3,100.0%,3
,,挖洞		地震		逃脱按键,2,100.0%,2
,,挖洞		地震		攻击强化,2,50.0%,1
,,挖洞		地震		万灵药,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	连打围巾,26,68.42%,13
,,力量头带	气势头带	连打围巾,21,72.41%,12
,,力量头带	焦点镜	连打围巾,14,66.67%,11
,,气势头带	猛攻哑铃	连打围巾,31,70.45%,6
,,力量头带	气势头带	猛攻哑铃,32,82.05%,5
,,力量头带	弱点保险	气势头带,26,83.87%,5
,,力量头带	气势头带	焦点镜,8,66.67%,4
,,气势头带	焦点镜	连打围巾,6,100.0%,4
,,力量头带	弱点保险	连打围巾,6,60.0%,4
,,弱点保险	猛攻哑铃	连打围巾,22,88.0%,2
,,力量头带	弱点保险	猛攻哑铃,5,83.33%,2
,,力量头带	治愈王冠	连打围巾,2,100.0%,2
,,力量头带	猛攻哑铃	连打围巾,1,100.0%,1
,,气势头带	焦点镜	猛攻哑铃,1,100.0%,1
,,气势头带	治愈王冠	连打围巾,1,100.0%,1
,,力量头带	咒术手镯	连打围巾,1,100.0%,1
,,弱点保险	焦点镜	连打围巾,0,0.0%,1
18,甲贺忍蛙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,62,2.3%,190,73.08%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,LG·Kyojiro,32,80.0%
,,UNITE150,25,75.76%
,,Co3Ios,11,68.75%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,飞水手里剑	影子分身	逃脱按键,55,75.34%,31
,,冲浪		影子分身	伤药	,32,80.0%,1
,,冲浪		烟幕		攻击强化,32,66.67%,15
,,飞水手里剑	影子分身	攻击强化,26,68.42%,9
,,冲浪		影子分身	攻击强化,17,70.83%,8
,,冲浪		烟幕		逃脱按键,8,72.73%,7
,,冲浪		烟幕		万灵药,7,100.0%,2
,,冲浪		影子分身	逃脱按键,7,77.78%,4
,,飞水手里剑	影子分身	万灵药,4,100.0%,3
,,飞水手里剑	烟幕		攻击强化,1,100.0%,1
,,飞水手里剑	影子分身	速度强化,1,25.0%,3
,,飞水手里剑	烟幕		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	猛攻哑铃,72,71.29%,26
,,力量头带	猛攻哑铃	连打围巾,25,73.53%,15
,,力量头带	焦点镜	连打围巾,35,74.47%,5
,,力量头带	咒术手镯	猛攻哑铃,5,100.0%,4
,,力量头带	连打围巾	锐利之爪,34,80.95%,2
,,力量头带	猛攻哑铃	能量增幅器,3,50.0%,2
,,亿奥斯饼干	力量头带	猛攻哑铃,0,0.0%,2
,,充能坠饰	力量头带	焦点镜,6,60.0%,1
,,力量头带	咒术手镯	连打围巾,4,100.0%,1
,,力量头带	气势头带	猛攻哑铃,2,100.0%,1
,,力量头带	焦点镜	能量增幅器,2,50.0%,1
,,充能坠饰	力量头带	猛攻哑铃,1,100.0%,1
,,充能坠饰	力量头带	轻石,1,100.0%,1
19,花疗环环,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,40,2.01%,188,82.46%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,llееa4,89,87.25%
,,darkSunny,25,83.33%
,,.*Miж.*+,18,81.82%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,花疗		打草结	迟缓烟雾,144,83.72%,31
,,花疗		魔法叶	迟缓烟雾,26,76.47%,16
,,天使之吻	打草结	迟缓烟雾,15,83.33%,3
,,天使之吻	魔法叶	迟缓烟雾,2,100.0%,1
,,花疗		打草结	逃脱按键,1,100.0%,1
,,花疗		打草结	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	援助头巾	救援屏障,137,86.16%,20
,,博识眼镜	学习装置	救援屏障,4,80.0%,3
,,学习装置	救援屏障	进击眼镜,3,100.0%,3
,,共鸣护盾	学习装置	救援屏障,26,83.87%,2
,,咒术熏香	学习装置	救援屏障,4,57.14%,2
,,博识眼镜	学习装置	援助头巾,2,66.67%,2
,,咒术熏香	学习装置	援助头巾,5,62.5%,1
,,学习装置	援助头巾	进击眼镜,2,50.0%,1
,,博识眼镜	学习装置	贝壳之铃,1,100.0%,1
,,博识眼镜	能量增幅器	进击眼镜,1,100.0%,1
,,共鸣护盾	学习装置	援助头巾,1,100.0%,1
,,共鸣护盾	博识眼镜	学习装置,0,0.0%,1
,,博识眼镜	学习装置	进击眼镜,0,0.0%,1
20,阿勃梭鲁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,56,1.93%,169,77.17%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,FLOW.R,19,86.36%
,,呆萌香腸OuO,18,90.0%
,,Fe2,15,78.95%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,追打		精神利刃	逃脱按键,38,70.37%,16
,,追打		精神利刃	万灵药,26,78.79%,6
,,追打		精神利刃	速度强化,21,84.0%,3
,,追打		精神利刃	攻击强化,21,77.78%,16
,,暗袭要害	精神利刃	逃脱按键,16,84.21%,3
,,追打		精神利刃	伤药	,15,78.95%,1
,,追打		突袭		逃脱按键,14,66.67%,11
,,追打		突袭		万灵药,7,87.5%,3
,,暗袭要害	精神利刃	速度强化,3,100.0%,1
,,追打		突袭		攻击强化,2,100.0%,2
,,暗袭要害	突袭		逃脱按键,2,100.0%,2
,,暗袭要害	精神利刃	伤药	,2,100.0%,1
,,追打		突袭		伤药	,1,100.0%,1
,,追打		突袭		脱壳忍者玩偶,1,50.0%,2
,,暗袭要害	精神利刃	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,焦点镜	猛攻哑铃	锐利之爪,49,83.05%,16
,,焦点镜	能量增幅器	锐利之爪,54,79.41%,12
,,充能坠饰	焦点镜	锐利之爪,26,61.9%,11
,,气势头带	焦点镜	锐利之爪,13,76.47%,6
,,力量头带	焦点镜	锐利之爪,6,85.71%,2
,,焦点镜	猛攻哑铃	能量增幅器,5,71.43%,2
,,猛攻哑铃	能量增幅器	锐利之爪,3,100.0%,2
,,弱点保险	焦点镜	锐利之爪,5,83.33%,1
,,充能坠饰	焦点镜	猛攻哑铃,3,100.0%,1
,,充能坠饰	能量增幅器	锐利之爪,2,66.67%,1
,,焦点镜	轻石	锐利之爪,2,66.67%,1
,,气势头带	焦点镜	猛攻哑铃,1,100.0%,1
21,路卡利欧,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,63,1.85%,152,72.73%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,頭はぴなす,24,72.73%
,,よっしーー_,14,77.78%
,,しぶやまさ,8,88.89%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,神速		骨棒乱打	万灵药,87,77.68%,33
,,增强拳	近身战	逃脱按键,56,70.0%,32
,,增强拳	近身战	万灵药,3,75.0%,4
,,神速		骨棒乱打	逃脱按键,2,50.0%,3
,,神速		骨棒乱打	攻击强化,1,100.0%,1
,,增强拳	骨棒乱打	逃脱按键,1,100.0%,1
,,神速		近身战	逃脱按键,1,100.0%,1
,,增强拳	近身战	攻击强化,1,50.0%,2
,,神速		近身战	万灵药,0,0.0%,2
,,增强拳	近身战	速度强化,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	弱点保险	猛攻哑铃,85,74.56%,23
,,弱点保险	猛攻哑铃	锐利之爪,42,73.68%,18
,,力量头带	猛攻哑铃	锐利之爪,20,71.43%,15
,,力量头带	学习装置	猛攻哑铃,1,100.0%,1
,,充能坠饰	力量头带	猛攻哑铃,1,100.0%,1
,,学习装置	弱点保险	猛攻哑铃,1,100.0%,1
,,力量头带	弱点保险	锐利之爪,1,50.0%,1
,,学习装置	猛攻哑铃	锐利之爪,1,33.33%,1
,,弱点保险	气势头带	猛攻哑铃,0,0.0%,1
,,力量头带	咒术手镯	猛攻哑铃,0,0.0%,1
22,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,61,1.73%,143,72.96%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,_SEN.TenZ乡,17,94.44%
,,.kaizen.,9,64.29%
,,Ceebu$,8,88.89%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,日光束	光墙		逃脱按键,43,82.69%,32
,,冲浪		高速移动	逃脱按键,35,74.47%,31
,,电球		指导		逃脱按键,28,77.78%,22
,,电球		高速移动	逃脱按键,23,74.19%,20
,,电球		光墙		逃脱按键,6,54.55%,7
,,冲浪		指导		逃脱按键,3,50.0%,3
,,日光束	高速移动	逃脱按键,2,100.0%,2
,,冲浪		光墙		逃脱按键,2,33.33%,5
,,电球		高速移动	攻击强化,1,100.0%,1
,,日光束	光墙		万灵药,0,0.0%,1
,,电球		光墙		万灵药,0,0.0%,1
,,电球		高速移动	万灵药,0,0.0%,1
,,日光束	光墙		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,53,76.81%,26
,,博识眼镜	讲究眼镜	进击眼镜,30,73.17%,13
,,博识眼镜	学习装置	讲究眼镜,13,61.9%,8
,,学习装置	穿透汤匙	讲究眼镜,7,87.5%,2
,,学习装置	讲究眼镜	进击眼镜,5,100.0%,2
,,穿透汤匙	讲究眼镜	进击眼镜,2,33.33%,2
,,穿透汤匙	贝壳之铃	进击眼镜,9,64.29%,1
,,学习装置	穿透汤匙	进击眼镜,8,88.89%,1
,,咒术熏香	学习装置	穿透汤匙,7,77.78%,1
,,博识眼镜	咒术熏香	讲究眼镜,3,75.0%,1
,,咒术熏香	讲究眼镜	进击眼镜,2,100.0%,1
,,博识眼镜	穿透汤匙	进击眼镜,2,100.0%,1
,,咒术熏香	学习装置	讲究眼镜,2,40.0%,1
,,博识眼镜	讲究眼镜	贝壳之铃,0,0.0%,1
23,朽木妖,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,53,1.46%,122,73.94%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,FakeGoLDeN,24,82.76%
,,LFD・Beach,14,70.0%
,,AE_Kt,10,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,木槌		木角		逃脱按键,78,81.25%,32
,,咒术		木角		逃脱按键,19,65.52%,8
,,木槌		木角		速度强化,10,62.5%,8
,,咒术		木角		速度强化,5,55.56%,7
,,咒术		木角		伤药	,4,100.0%,4
,,咒术		分担痛楚	伤药	,3,60.0%,1
,,咒术		分担痛楚	逃脱按键,1,100.0%,1
,,咒术		分担痛楚	速度强化,1,100.0%,1
,,木槌		木角		伤药	,1,25.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	学习装置	气势头带,50,80.65%,11
,,亿奥斯饼干	学习装置	气势头带,12,70.59%,11
,,学习装置	气势头带	轻石,13,61.9%,9
,,亿奥斯饼干	气势头带	猛攻哑铃,11,73.33%,8
,,学习装置	气势头带	猛攻哑铃,4,100.0%,2
,,学习装置	救援屏障	气势头带,1,33.33%,2
,,学习装置	弱点保险	气势头带,14,70.0%,1
,,亿奥斯饼干	弱点保险	猛攻哑铃,4,66.67%,1
,,咒术手镯	气势头带	猛攻哑铃,3,100.0%,1
,,亿奥斯饼干	凸凸头盔	气势头带,3,75.0%,1
,,共鸣护盾	学习装置	救援屏障,2,66.67%,1
,,共鸣护盾	救援屏障	气势头带,1,100.0%,1
,,学习装置	气势头带	突击背心,1,100.0%,1
,,亿奥斯饼干	共鸣护盾	学习装置,1,100.0%,1
,,共鸣护盾	气势头带	猛攻哑铃,1,50.0%,1
,,共鸣护盾	力量头带	气势头带,1,50.0%,1
24,耿鬼,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,22,1.34%,123,80.92%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,落花°크리,102,85.71%
,,よっしーー_,3,100.0%
,,BTSかぴお,3,60.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,污泥炸弹	祸不单行	万灵药,110,83.33%,8
,,暗影球	食梦		逃脱按键,6,66.67%,7
,,暗影球	食梦		速度强化,2,100.0%,2
,,污泥炸弹	祸不单行	攻击强化,2,66.67%,2
,,暗影球	食梦		攻击强化,1,100.0%,1
,,污泥炸弹	食梦		速度强化,1,100.0%,1
,,污泥炸弹	祸不单行	逃脱按键,1,33.33%,3
,,暗影球	食梦		万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,穿透汤匙	讲究眼镜	进击眼镜,5,71.43%,6
,,博识眼镜	穿透汤匙	讲究眼镜,5,55.56%,6
,,博识眼镜	穿透汤匙	进击眼镜,105,85.37%,3
,,博识眼镜	贝壳之铃	进击眼镜,4,66.67%,2
,,博识眼镜	讲究眼镜	进击眼镜,1,50.0%,2
,,穿透汤匙	讲究眼镜	贝壳之铃,1,50.0%,2
,,博识眼镜	穿透汤匙	贝壳之铃,2,66.67%,1
24,狙射树枭,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,36,1.34%,121,79.61%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ttvPaPiYanG,65,81.25%
,,まなわはくと,11,84.62%
,,ost.,9,81.82%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,缝影		影子偷袭	逃脱按键,92,82.88%,17
,,飞叶快刀	影子偷袭	逃脱按键,11,78.57%,2
,,缝影		影子偷袭	速度强化,9,60.0%,12
,,飞叶快刀	飞叶风暴	攻击强化,3,75.0%,4
,,飞叶快刀	影子偷袭	万灵药,2,100.0%,1
,,缝影		影子偷袭	万灵药,1,100.0%,1
,,飞叶快刀	影子偷袭	攻击强化,1,100.0%,1
,,缝影		飞叶风暴	速度强化,1,100.0%,1
,,缝影		飞叶风暴	逃脱按键,1,33.33%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	猛攻哑铃	轻石,6,60.0%,7
,,充能坠饰	力量头带	猛攻哑铃,9,81.82%,6
,,充能坠饰	猛攻哑铃	轻石,6,75.0%,5
,,力量头带	焦点镜	连打围巾,6,75.0%,5
,,咒术手镯	猛攻哑铃	轻石,68,81.93%,3
,,力量头带	猛攻哑铃	连打围巾,12,85.71%,2
,,充能坠饰	力量头带	轻石,1,50.0%,2
,,力量头带	焦点镜	锐利之爪,9,81.82%,1
,,充能坠饰	力量头带	咒术手镯,1,100.0%,1
,,力量头带	咒术手镯	猛攻哑铃,1,100.0%,1
,,力量头带	连打围巾	锐利之爪,1,100.0%,1
,,力量头带	咒术手镯	连打围巾,1,100.0%,1
,,力量头带	咒术手镯	轻石,0,0.0%,1
26,太阳伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,53,1.33%,115,76.16%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,_SEN.TenZ乡,57,85.07%
,,키요카,6,66.67%
,,ParuParuParu,5,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,辅助力量	幻象光线	逃脱按键,60,78.95%,18
,,精神冲击	幻象光线	逃脱按键,42,79.25%,29
,,精神冲击	预知未来	逃脱按键,7,70.0%,5
,,辅助力量	预知未来	逃脱按键,2,40.0%,5
,,辅助力量	幻象光线	脱壳忍者玩偶,1,100.0%,1
,,精神冲击	预知未来	速度强化,1,100.0%,1
,,辅助力量	幻象光线	万灵药,1,50.0%,1
,,精神冲击	幻象光线	速度强化,1,33.33%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,98,79.67%,33
,,咒术熏香	穿透汤匙	讲究眼镜,9,64.29%,10
,,博识眼镜	咒术熏香	穿透汤匙,5,71.43%,6
,,博识眼镜	咒术熏香	学习装置,1,100.0%,1
,,博识眼镜	咒术熏香	讲究眼镜,1,100.0%,1
,,博识眼镜	讲究眼镜	贝壳之铃,1,33.33%,1
,,咒术熏香	学习装置	讲究眼镜,0,0.0%,1
27,多龙巴鲁托,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,16,1.3%,115,78.23%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,JSLㅤ送葬,83,88.3%
,,PCNK_Häco,10,71.43%
,,T@i3!!,8,88.89%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗影球	潜灵奇袭	攻击强化,103,79.84%,9
,,龙息		潜灵奇袭	攻击强化,8,88.89%,1
,,暗影球	潜灵奇袭	逃脱按键,2,66.67%,3
,,龙息		龙之舞	攻击强化,1,100.0%,1
,,龙息		龙之舞	逃脱按键,1,33.33%,1
,,龙息		潜灵奇袭	伤药	,0,0.0%,1
,,龙息		龙之舞	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	连打围巾,109,81.95%,11
,,力量头带	猛攻哑铃	连打围巾,2,33.33%,2
,,力量头带	焦点镜	猛攻哑铃,2,50.0%,1
,,力量头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,力量头带	治愈王冠	连打围巾,1,33.33%,1
28,勾魂眼,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,20,1.27%,120,83.33%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,でびえん.,55,83.33%
,,Fe2,28,87.5%
,,¿りるまる?,11,91.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,拍落		奇异之光	速度强化,112,82.96%,16
,,影子偷袭	奇异之光	得分加速装置,3,100.0%,1
,,拍落		奇异之光	得分加速装置,3,75.0%,3
,,拍落		奇异之光	逃脱按键,1,100.0%,1
,,拍落		出奇一击	速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,吃剩的东西	学习装置	轻石,112,82.35%,15
,,学习装置	气势头带	轻石,2,100.0%,2
,,吃剩的东西	得分护盾	轻石,4,100.0%,1
,,共鸣护盾	学习装置	轻石,1,100.0%,1
,,咒术手镯	学习装置	轻石,1,100.0%,1
29,藏饱栗鼠,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,31,1.25%,119,83.8%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Natsuuメ,44,80.0%
,,sb3_ruka,22,88.0%
,,FakeGoLDeN,9,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,打嗝		渴望		速度强化,45,78.95%,2
,,打嗝		渴望		逃脱按键,34,89.47%,10
,,打嗝		渴望		伤药	,21,84.0%,7
,,打嗝		渴望		向尾喵的尾巴,15,83.33%,11
,,种子机关枪	大快朵颐	速度强化,2,100.0%,2
,,种子机关枪	大快朵颐	伤药	,1,100.0%,1
,,种子机关枪	大快朵颐	逃脱按键,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,亿奥斯饼干	气势头带	猛攻哑铃,51,78.46%,6
,,亿奥斯饼干	学习装置	猛攻哑铃,6,85.71%,5
,,学习装置	气势头带	猛攻哑铃,7,87.5%,4
,,亿奥斯饼干	弱点保险	猛攻哑铃,29,87.88%,3
,,弱点保险	气势头带	猛攻哑铃,6,100.0%,3
,,亿奥斯饼干	学习装置	气势头带,12,100.0%,2
,,气势头带	猛攻哑铃	轻石,1,50.0%,2
,,学习装置	气势头带	轻石,2,66.67%,1
,,学习装置	猛攻哑铃	轻石,1,100.0%,1
,,弱点保险	猛攻哑铃	轻石,1,100.0%,1
,,亿奥斯饼干	救援屏障	猛攻哑铃,1,100.0%,1
,,充能坠饰	气势头带	猛攻哑铃,1,100.0%,1
,,气势头带	猛攻哑铃	能量增幅器,1,50.0%,1
30,红莲铠骑,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,29,1.24%,107,75.89%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,blushT^T,42,79.25%
,,GHardscore,15,83.33%
,,MelodyyNopro,9,81.82%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰旋涡	蓄能焰袭	逃脱按键,39,78.0%,2
,,铠农炮	精神冲击	逃脱按键,24,70.59%,12
,,火焰旋涡	精神冲击	逃脱按键,18,94.74%,3
,,火焰旋涡	精神冲击	速度强化,15,78.95%,6
,,火焰旋涡	精神冲击	万灵药,6,75.0%,3
,,铠农炮	精神冲击	速度强化,3,50.0%,4
,,火焰旋涡	蓄能焰袭	速度强化,2,50.0%,4
,,铠农炮	精神冲击	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,咒术熏香	气势头带	穿透汤匙,14,82.35%,6
,,博识眼镜	穿透汤匙	讲究眼镜,8,72.73%,6
,,博识眼镜	穿透汤匙	贝壳之铃,45,78.95%,4
